row_label_raw,row_label_full,col_0,Tai ngày31/12/2021VND,Tai ngày01/01/2021VND,numeric__Tai ngày31/12/2021VND,numeric__Tai ngày01/01/2021VND
Khách hàng trả tiền trước là bên liên quan - Xem thêm mục 8,Khách hàng trả tiền trước là bên liên quan - Xem thêm mục 8,Khách hàng trả tiền trước là bên liên quan - Xem thêm mục 8,168.736.881,26.876.802,168736881.0,26876802.0
Công ty Cổ phần Sản xuất Kinh doanh Thép Việt Nhật,Công ty Cổ phần Sản xuất Kinh doanh Thép Việt Nhật,Công ty Cổ phần Sản xuất Kinh doanh Thép Việt Nhật,96.295.841.242,2.195.000.000,96295841242.0,2195000000.0
Công ty TNHH Rich Base,Công ty TNHH Rich Base,Công ty TNHH Rich Base,43.716.469.064,-,43716469064.0,
Công ty TNHH KHGEARS Việt Nam,Công ty TNHH KHGEARS Việt Nam,Công ty TNHH KHGEARS Việt Nam,38.337.767.787,1.048.000.000,38337767787.0,1048000000.0
Các khác hàng khác,Các khác hàng khác,Các khác hàng khác,204.284.124.412,701.282.447.209,204284124412.0,701282447209.0
Cộng,Cộng,Cộng,382.802.939.386,704.552.324.011,382802939386.0,704552324011.0
