row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Bán điện,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 695.516.509.480,Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 857.336.249.992,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > Bán điện,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 695.516.509.480,numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6) > 857.336.249.992
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bán điện,11.460.069.712,-,,11460069712.0,
Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,Bán điện,-,11.452.956.462,,,11452956462.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,706.976.579.192,868.789.206.454,,706976579192.0,868789206454.0
Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),,,
Công ty Cổ phần Thủy điện A Vương,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Cổ tức được chia,1.289.534.500,1.289.534.500,,1289534500.0,1289534500.0
Tổng Công ty Phát điện 1,Phải thu ngắn hạn khác (Thuyết minh số 7) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải thu về chi hộ,1.000.000.000,-,,1000000000.0,
Công ty Cổ phần Thủy điện Sòng Ba Hạ,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Thủy điện Sòng Ba Hạ,Công ty Cổ phần Thủy điện Sòng Ba Hạ,Cổ tức được chia,640.000.000,640.000.000,,640000000.0,640000000.0
Công ty Cổ phần Phong điện Thuận Bình,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Cổ tức được chia,-,10.000.000.000,,,10000000000.0
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,,2.929.534.500,11.929.534.500,,2929534500.0,11929534500.0
Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),Phải trả người bán ngắn hạn (Thuyết minh số 14),,,
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Phải trả người bán ngắn hạn (Thuyết minh số 14) > Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,"Phải trả phí tư vấn, khảo sát",10.707.000.371,4.438.908.000,,10707000371.0,4438908000.0
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Phải trả người bán ngắn hạn (Thuyết minh số 14) > Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,"Phải trả phí tư vấn, khảo sát",404.319.282,2.561.844.320,,404319282.0,2561844320.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 14) > TỔNG CỘNG,TỔNG CỘNG,,11.111.319.653,7.000.752.320,,11111319653.0,7000752320.0
Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),Phải trả ngắn hạn khác (Thuyết minh số 17),,,
Tổng Công ty Phát điện 1,Phải trả ngắn hạn khác (Thuyết minh số 17) > Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Phải trả cổ tức,-,506.972.330.802,,,506972330802.0
Tập đoàn Điện lực Việt Nam,Phải trả ngắn hạn khác (Thuyết minh số 17) > Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Mua dịch vụ,264.311.112,448.610.802,,264311112.0,448610802.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 17) > TỔNG CỘNG,TỔNG CỘNG,,264.311.112,507.420.941.604,,264311112.0,507420941604.0
