row_label_raw,row_label_full,Bên liên quan > Tập đoàn Điện lực Việt Nam > Tổng Công ty Điện lực Miền Nam,Nội dung nghiệp vụ > Mua dịch vụ > Doanh thu về phát điện,Năm nay > 3.736.985.158 > 47.286.977.366,Đơn vị tính: VNDNăm trước > 4.143.032.782 > 73.791.480.827,numeric__Nội dung nghiệp vụ > Mua dịch vụ > Doanh thu về phát điện,numeric__Năm nay > 3.736.985.158 > 47.286.977.366,numeric__Đơn vị tính: VNDNăm trước > 4.143.032.782 > 73.791.480.827
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Doanh thu về phát điện,39.948.185.789,-,,39948185789.0,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Cổ tức đã trảChia cổ tứcThu tiền cho vayLãi cho vay,886.416.510.000379.892.790.000--,1.202.993.835.000865.311.355.000799.932.824.89428.539.825.564,,,1.2029938350008654e+47
Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam,Doanh thu về phát điện,2.192.060.704.892,2.004.452.607.641,,2192060704892.0,2004452607641.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Cổ tức được chiaNhận cổ tức,5.158.138.0005.158.138.000,18.025.113.24122.138.728.296,,5.158138000515814e+19,1.8025113241221388e+21
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Cổ tức được chiaCổ tức đã nhận,1.920.000.0001.920.000.000,7.456.000.0006.816.000.000,,1.920000000192e+19,7.4560000006816e+19
Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Cổ tức được chiaCổ tức đã nhận,15.000.000.00025.000.000.000,29.998.900.00019.998.900.000,,1.500000000025e+21,2.9998900000199986e+21
