row_label_raw,row_label_full,Số đầu năm > Trích lập thêm trong năm,Đơn vị tính: VND > Năm nay > 23.129.972.623 > 35.480.168.000,Đơn vị tính: VND > Năm trước > 20.155.200.300 > 53.425.341.245,numeric__Đơn vị tính: VND > Năm nay > 23.129.972.623 > 35.480.168.000,numeric__Đơn vị tính: VND > Năm trước > 20.155.200.300 > 53.425.341.245
Tăng khác,Tăng khác,Tăng khác,736.926.000,-,736926000.0,
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(39.255.381.078),(50.450.568.922),-39255381078.0,-50450568922.0
Số cuối năm,Số cuối năm,Số cuối năm,20.091.685.545,23.129.972.623,20091685545.0,23129972623.0
