row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",8.887.544.119,-,13.911.572.569,-,8887544119.0,,13911572569.0,
Chi phí sản xuất kinh doanh dở dang,Ngắn hạn > Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,416.406.464,-,498.867.462,-,416406464.0,,498867462.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,9.303.950.583,-,14.410.440.031,-,9303950583.0,,14410440031.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Dài hạn > Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",77.402.165.151,-,73.867.013.242,-,77402165151.0,,73867013242.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,77.402.165.151,-,73.867.013.242,-,77402165151.0,,73867013242.0,
