row_label_raw,row_label_full,Phải thu bên liên quan (Thuyết minh số 27),Đơn vị tính: VND > Số cuối năm > 706.976.579.192,Đơn vị tính: VND > Số đầu năm > 868.789.206.454,numeric__Đơn vị tính: VND > Số cuối năm > 706.976.579.192,numeric__Đơn vị tính: VND > Số đầu năm > 868.789.206.454
Phải thu từ khách hàng khác,Phải thu từ khách hàng khác,Phải thu từ khách hàng khác,2.633.975.903,2.810.883.967,2633975903.0,2810883967.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,709.610.555.095,871.600.090.421,709610555095.0,871600090421.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(2.085.349.433),(2.337.623.033),-2085349433.0,-2337623033.0
