row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần > Năm trước > 4.224.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 500.620.626.722 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 500.485.070.048 > 902.759.179.555,Lợi ích của cổ đông không kiểm soát > Năm trước > 58.033.420.459 > 3.514.406.330,Đơn vị tính: VND Tổng cộng > Năm trước > 5.283.139.117.229 > 906.273.585.885,numeric__Vốn cổ phần > Năm trước > 4.224.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 500.620.626.722 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 500.485.070.048 > 902.759.179.555,numeric__Lợi ích của cổ đông không kiểm soát > Năm trước > 58.033.420.459 > 3.514.406.330,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 5.283.139.117.229 > 906.273.585.885
- Cổ tức đã công bố,- Cổ tức đã công bố,- Cổ tức đã công bố,-,-,(865.920.000.000),(4.800.000.000),(870.720.000.000),,,-865920000000.0,-4800000000.0,-870720000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,(53.203.630.409),(221.710.837),(53.425.341.246),,,-53203630409.0,-221710837.0,-53425341246.0
- Trích quỹ quỹ đầu tư phát triển,- Trích quỹ quỹ đầu tư phát triển,- Trích quỹ quỹ đầu tư phát triển,-,560.000.000,(560.000.000),-,-,,560000000.0,-560000000.0,,
Số cuối năm,Số cuối năm,Số cuối năm,4.224.000.000.000,501.180.626.722,483.560.619.194,56.526.115.952,5.265.267.361.868,4224000000000.0,501180626722.0,483560619194.0,56526115952.0,5265267361868.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.224.000.000.000,501.180.626.722,483.560.619.194,56.526.115.952,5.265.267.361.868,4224000000000.0,501180626722.0,483560619194.0,56526115952.0,5265267361868.0
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,915.051.182.844,7.672.859.597,922.724.042.441,,,915051182844.0,7672859597.0,922724042441.0
- Cổ tức đã công bố (i),Năm nay > - Cổ tức đã công bố (i),- Cổ tức đã công bố (i),-,-,(380.160.000.000),(2.400.000.000),(382.560.000.000),,,-380160000000.0,-2400000000.0,-382560000000.0
- Tạm ứng cổ tức (ii),Năm nay > - Tạm ứng cổ tức (ii),- Tạm ứng cổ tức (ii),-,-,(591.360.000.000),-,(591.360.000.000),,,-591360000000.0,,-591360000000.0
- Trích quỹ khen thưởng phúc lợi (i),Năm nay > - Trích quỹ khen thưởng phúc lợi (i),- Trích quỹ khen thưởng phúc lợi (i),-,-,(35.285.034.800),(195.133.200),(35.480.168.000),,,-35285034800.0,-195133200.0,-35480168000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.224.000.000.000,501.180.626.722,391.806.767.238,61.603.842.349,5.178.591.236.309,4224000000000.0,501180626722.0,391806767238.0,61603842349.0,5178591236309.0
