row_label_raw,row_label_full,Công ty,Địa chỉ,Hoạt động chính,Tỷ lệ lợi ích của Công ty,Quyền biểu quyết của Công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích của Công ty,numeric__Quyền biểu quyết của Công ty
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,"Thôn Lạc Trị, xã",Sản xuất và kinh doanh điện năng,20%,20%,,,0.2,0.2
Phong điện,Phong điện,Phong điện,"Liên Hương, tỉnh",Sản xuất và kinh doanh điện năng,20%,20%,,,0.2,0.2
Thuận Bình,Thuận Bình,Thuận Bình,"Lâm Đồng, Việt Nam",Sản xuất và kinh doanh điện năng,20%,20%,,,0.2,0.2
