row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị văn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,244.421.955.098,85.056.611.786,9.828.639.954,4.710.845.471,344.018.052.309,244421955098.0,85056611786.0,9828639954.0,4710845471.0,344018052309.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,-,-,32.400.000,32.400.000,,,,32400000.0,32400000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,244.421.955.098,85.056.611.786,9.828.639.954,4.743.245.471,344.050.452.309,244421955098.0,85056611786.0,9828639954.0,4743245471.0,344050452309.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,10.546.797.195,28.001.445.410,6.603.199.954,4.710.845.471,49.862.288.030,10546797195.0,28001445410.0,6603199954.0,4710845471.0,49862288030.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,63.927.856.421,51.096.734.978,8.204.572.818,4.432.777.316,127.661.941.533,63927856421.0,51096734978.0,8204572818.0,4432777316.0,127661941533.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,7.847.596.824,7.318.245.186,358.064.825,283.148.800,15.807.055.635,7847596824.0,7318245186.0,358064825.0,283148800.0,15807055635.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,71.775.453.245,58.414.980.164,8.562.637.643,4.715.926.116,143.468.997.168,71775453245.0,58414980164.0,8562637643.0,4715926116.0,143468997168.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,180.494.098.677,33.959.876.808,1.624.067.136,278.068.155,216.356.110.776,180494098677.0,33959876808.0,1624067136.0,278068155.0,216356110776.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,172.646.501.853,26.641.631.622,1.266.002.311,27.319.355,200.581.455.141,172646501853.0,26641631622.0,1266002311.0,27319355.0,200581455141.0
