row_label_raw,row_label_full,Bên liên quan > Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Mối quan hệ > Công ty con,Số dư vay VND > 73.465.000.000,Lãi suất %/năm > 5.8 - 6.2%/năm,Ngày đáo hạn > Gốc đáo hạn từ ngày 17 tháng 1 năm 2025 đến ngày 23 tháng 12 năm 2025. Lãi trả cuối kỳ.,Hình thức đảm bảo > Tín chấp,numeric__Mối quan hệ > Công ty con,numeric__Số dư vay VND > 73.465.000.000,numeric__Lãi suất %/năm > 5.8 - 6.2%/năm,numeric__Ngày đáo hạn > Gốc đáo hạn từ ngày 17 tháng 1 năm 2025 đến ngày 23 tháng 12 năm 2025. Lãi trả cuối kỳ.,numeric__Hình thức đảm bảo > Tín chấp
Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty 756 Sài GònTrong đó:Vay dài hạn đến hạn trả,Công ty con,73.465.000.000,,,,,73465000000.0,,,
Công ty cổ phần thủy điện Sông Tranh 4,Công ty cổ phần thủy điện Sông Tranh 4,Công ty cổ phần thủy điện Sông Tranh 4,Công ty con,90.000.000.000,"4,5%/năm",Gốc đáo hạn từ ngày 22 tháng 7 năm 2026 đến ngày 30 tháng 10 năm 2026. Lãi trả cuối kỳ.,Tín chấp,,90000000000.0,,,
Công ty CP Quản lý - Vận hành - Khai thác Bất động sản Hà Đỏ,Công ty CP Quản lý - Vận hành - Khai thác Bất động sản Hà Đỏ,Công ty CP Quản lý - Vận hành - Khai thác Bất động sản Hà Đỏ,Công ty con,20.000.000.000,"4,5%/năm",Gốc đáo hạn ngày 21 tháng 8 năm 2026. Lãi trả tại ngày đáo hạn.,Tín chấp,,20000000000.0,,,
Công ty QL&KD Hà Đỏ,Công ty QL&KD Hà Đỏ,Công ty QL&KD Hà Đỏ,Công ty con,19.000.000.000,"4,5%/năm",Gốc đáo hạn ngày 28 tháng 10 năm 2026. Lãi trả tại ngày đáo hạn.,Tín chấp,,19000000000.0,,,
Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty con,320.000.000.000,4.5 – 6.2%/năm,Gốc đáo hạn từ ngày 24 tháng 3 năm 2025 đến ngày 20 tháng 5 năm 2026. Lãi trả cuối kỳ.,Tín chấp,,320000000000.0,,,
Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty Za HưngTrong đó:Vay dài hạn đến hạn trả,Công ty con,90.000.000.000,,,,,90000000000.0,,,
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,49.000.000.000,4.5 – 6.2%/năm,Gốc đáo hạn ngày 15 tháng 5 năm 2026. Lãi trả tại ngày đáo hạn.,Tín chấp,,49000000000.0,,,
Công ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty con,158.000.000.000,4.5 – 6.2%/năm,Gốc đáo hạn từ ngày 25 tháng 7 năm 2025 đến ngày 23 tháng 7 năm 2026. Lãi trả cuối kỳ.,Tín chấp,,158000000000.0,,,
Công ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty SuryaTrong đó:Vay dài hạn đến hạn trả,Công ty con,13.000.000.000,,,,,13000000000.0,,,
,,,,729.465.000.000,,,,,729465000000.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,553.000.000.000,,,,,553000000000.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,176.465.000.000,,,,,176465000000.0,,,
