row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Thị Xuân Lan,Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8) > Người có mối quan hệ gia đình mật thiết với thành viên HĐQT (đến ngày 3 tháng 10 năm 2024),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8) > Tạm ứng,Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8) > -,Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 8) > 8.487.000.000,numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8) > Người có mối quan hệ gia đình mật thiết với thành viên HĐQT (đến ngày 3 tháng 10 năm 2024),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8) > Tạm ứng,numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8) > -,numeric__Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 8) > 8.487.000.000
Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty Năng lượng Hà Đô,Công ty con,Lợi nhuận được chia phải thu,-,89.968.000.000,,,,89968000000.0
Công ty Agrita - Quảng Nam,Công ty Agrita - Quảng Nam,Công ty Agrita - Quảng Nam,Công ty con,Lợi nhuận được chia phải thu,-,79.783.200.000,,,,79783200000.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Lợi nhuận được chia phải thu,-,26.032.500.000,,,,26032500000.0
Công ty Quản lý và Kinh doanh Hà Đô,Công ty Quản lý và Kinh doanh Hà Đô,Công ty Quản lý và Kinh doanh Hà Đô,Công ty con,Lợi nhuận được chia phải thu,-,899.910.000,,,,899910000.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu chi hộ,2.853.000.000,2.853.000.000,,,2853000000.0,2853000000.0
Công ty Khánh Hà,Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,Phải thu lãi cho vay,2.648.339.896,3.496.867.947,,,2648339896.0,3496867947.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu lãi cho vay,-,687.123.288,,,,687123288.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu khác,163.032.696,163.032.696,,,163032696.0,163032696.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,-,344.354.304,,,,344354304.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.664.372.592,212.714.988.235,,,5664372592.0,212714988235.0
Phải thu dài hạn khác (Mã số 216),Phải thu dài hạn khác (Mã số 216),Phải thu dài hạn khác (Mã số 216),Phải thu dài hạn khác (Mã số 216),Phải thu dài hạn khác (Mã số 216),Phải thu dài hạn khác (Mã số 216),Phải thu dài hạn khác (Mã số 216),,,,
Công ty Khánh Hà,Phải thu dài hạn khác (Mã số 216) > Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,Phải thu lãi cho vay,2.100.407.503,977.819.178,,,2100407503.0,977819178.0
TỔNG CỘNG,Phải thu dài hạn khác (Mã số 216) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.100.407.503,977.819.178,,,2100407503.0,977819178.0
