row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),272.272.142.049,315.333.781.040,272272142049.0,315333781040.0
Nhận tạm ứng từ công ty con,Ngắn hạn > Nhận tạm ứng từ công ty con,Nhận tạm ứng từ công ty con,34.000.000.000,34.000.000.000,34000000000.0,34000000000.0
"Ký cược, ký quỹ","Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",85.344.746.353,24.678.564.252,85344746353.0,24678564252.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng,Phải trả tiền hỗ trợ chuyển giao mặt bằng,Phải trả tiền hỗ trợ chuyển giao mặt bằng,,,,
Dự án An Khánh - An Thượng (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng > Dự án An Khánh - An Thượng (ii),Dự án An Khánh - An Thượng (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Thu hộ phải trả,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Thu hộ phải trả,Thu hộ phải trả,12.686.352.098,12.686.352.098,12686352098.0,12686352098.0
Phải trả lợi nhuận chia sẻ theo BCC,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Phải trả lợi nhuận chia sẻ theo BCC,Phải trả lợi nhuận chia sẻ theo BCC,9.366.641.280,7.710.400.280,9366641280.0,7710400280.0
Nhận tiền cho mục đích chuyển nhượng bất động sản,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Nhận tiền cho mục đích chuyển nhượng bất động sản,Nhận tiền cho mục đích chuyển nhượng bất động sản,72.727.272,7.464.242.260,72727272.0,7464242260.0
Các khoản phải trả ngắn hạn khác,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,4.404.926.271,9.857.093.611,4404926271.0,9857093611.0
TỔNG CỘNG,Phải trả tiền hỗ trợ chuyển giao mặt bằng > TỔNG CỘNG,TỔNG CỘNG,438.777.989.869,432.360.888.087,438777989869.0,432360888087.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,73.428.933.341,105.126.895.886,73428933341.0,105126895886.0
Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Trong đó: > Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),365.349.056.528,327.233.992.201,365349056528.0,327233992201.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc cho thuê,Dài hạn > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,15.259.743.586,11.842.375.852,15259743586.0,11842375852.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,375.542.400,375.542.400,375542400.0,375542400.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,15.635.285.986,12.217.918.252,15635285986.0,12217918252.0
