row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngân hàng dài hạn đến hạn trả (Thuyết minh số 19.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả (Thuyết minh số 19.1),Vay ngân hàng dài hạn đến hạn trả (Thuyết minh số 19.1),43.615.336.633,43.615.336.632,(43.615.336.632),43.615.336.633,43615336633.0,43615336632.0,-43615336632.0,43615336633.0
Vay đối tượng khác (Thuyết minh số 19.2),Vay ngắn hạn > Vay đối tượng khác (Thuyết minh số 19.2),Vay đối tượng khác (Thuyết minh số 19.2),55.587.359.454,23.658.136.380,(42.250.000.000),36.995.495.834,55587359454.0,23658136380.0,-42250000000.0,36995495834.0
Vay các bên liên quan dài hạn đến hạn trả (Thuyết minh số 29),Vay ngắn hạn > Vay các bên liên quan dài hạn đến hạn trả (Thuyết minh số 29),Vay các bên liên quan dài hạn đến hạn trả (Thuyết minh số 29),672.000.000.000,301.000.000.000,(796.535.000.000),176.465.000.000,672000000000.0,301000000000.0,-796535000000.0,176465000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,771.202.696.087,368.273.473.012,(882.400.336.632),257.075.832.467,771202696087.0,368273473012.0,-882400336632.0,257075832467.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng (Thuyết minh số 19.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 19.1),Vay ngân hàng (Thuyết minh số 19.1),87.230.673.271,-,(43.615.336.632),43.615.336.639,87230673271.0,,-43615336632.0,43615336639.0
Vay đối tượng khác (Thuyết minh số 19.2),Vay dài hạn > Vay đối tượng khác (Thuyết minh số 19.2),Vay đối tượng khác (Thuyết minh số 19.2),-,50.234.033.000,-,50.234.033.000,,50234033000.0,,50234033000.0
Vay các bên liên quan (Thuyết minh số 29),Vay dài hạn > Vay các bên liên quan (Thuyết minh số 29),Vay các bên liên quan (Thuyết minh số 29),396.464.023.000,457.535.977.000,(301.000.000.000),553.000.000.000,396464023000.0,457535977000.0,-301000000000.0,553000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,483.694.696.271,507.770.010.000,(344.615.336.632),646.849.369.639,483694696271.0,507770010000.0,-344615336632.0,646849369639.0
