row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Công ty Hà ĐôThuận Nam,Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Công ty con,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Phải thu phí quản lý,Ngày 31 tháng12 năm 2024 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > -,Đơn vị tính: VNDNgày 31 tháng12 năm 2023 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > 2.438.242.464,numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Công ty con,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Phải thu phí quản lý,numeric__Ngày 31 tháng12 năm 2024 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > -,numeric__Đơn vị tính: VNDNgày 31 tháng12 năm 2023 > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > 2.438.242.464
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải thu phí tư vấn,1.469.951.102,-,,,1469951102.0,
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Phải thu phí quản lý,5.245.055.854,5.245.055.854,,,5245055854.0,5245055854.0
Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty con,Phải thu phí quản lý,5.447.390.528,5.447.390.528,,,5447390528.0,5447390528.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải thu phí quản lý,1.744.732.500,1.738.488.313,,,1744732500.0,1738488313.0
Công ty Hà ĐôBình Thuận,Công ty Hà ĐôBình Thuận,Công ty Hà ĐôBình Thuận,Công ty con,Phải thu phí quản lý,2.064.484.073,2.064.484.073,,,2064484073.0,2064484073.0
Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải thu phí quản lý,-,5.753.518.045,,,,5753518045.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu phí tư vấn,-,2.018.649.507,,,,2018649507.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,Công ty con,Phải thu phí quản lý,1.284.077.850,1.351.314.573,,,1284077850.0,1351314573.0
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Người có quanhệ mật thiết với thành viên HĐQT,Phải thu tiền mua bất động sản,643.142.000,643.142.000,,,643142000.0,643142000.0
Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Phó Tổng Giám đốc (đến ngày 17 tháng 6 năm 2024),Phải thu tiền mua bất động sản,-,468.623.000,,,,468623000.0
Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Người có mối quan hệ gia đìnhmật thiết với thành viên HĐQT,Phải thu chuyển nhượng BĐS,617.896.000,617.896.000,,,617896000.0,617896000.0
Các cá nhân khác,Các cá nhân khác,Các cá nhân khác,Người liên quannội bộ,Phải thu tiền mua bất động sản,2.593.566.000,1.307.026.000,,,2593566000.0,1307026000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,21.110.295.907,29.093.830.357,,,21110295907.0,29093830357.0
