row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,Công ty con,"Thu hộ tiền bảo hiểm, kinh phí công đoàn",467.628.000,435.733.000,,,467628000.0,435733000.0
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Chủ tịch HĐQT,Doanh thu từ chuyển nhượng BĐS,-,11.883.562.474,,,,11883562474.0
Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Phó Chủ tịch HĐQT kiểm Tổng Giám đốc,Hoàn ứng,-,36.787.400.000,,,,36787400000.0
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Phó Tổng giám đốc,Doanh thu chuyển nhượng BĐSNộp tiền mua bất động sản,10.701.167.659,-,,,10701167659.0,
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Phó Tổng giám đốc,Doanh thu chuyển nhượng BĐSNộp tiền mua bất động sản,-,4.611.200.000,,,,4611200000.0
Ông Lê Xuân Long,Ông Lê Xuân Long,Ông Lê Xuân Long,Ủy viên HĐQT,Doanh thu từ chuyển nhượng BĐS,6.901.893.176,7.313.403.873,,,6901893176.0,7313403873.0
Ông Phạm Hồng Kế toán trường Hiếu,Ông Phạm Hồng Kế toán trường Hiếu,Ông Phạm Hồng Kế toán trường Hiếu,,Doanh thu chuyển nhượng BĐS,7.941.673.931,-,,,7941673931.0,
Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên HĐQT từ ngày 27 tháng 4 năm 2024,Doanh thu chuyển nhượng BĐS,7.496.479.375,-,,,7496479375.0,
Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT đến ngày 3 tháng 10 năm 2024,Thu tiền chuyển nhượng bất động sảnDoanh thu từ chuyển nhượng BĐS,-,31.132.647.000,,,,31132647000.0
Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT đến ngày 3 tháng 10 năm 2024,Thu tiền chuyển nhượng bất động sảnDoanh thu từ chuyển nhượng BĐS,-,98.563.311.457,,,,98563311457.0
Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên độc lập HĐQT kiểm Ủy viên ban Kiểm toán,Thu tiền chuyển nhượng bất động sản,-,3.243.200.000,,,,3243200000.0
Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Doanh thu từ chuyển nhượng BĐS,-,11.366.750.902,,,,11366750902.0
Bà Vũ Thị Hà,Bà Vũ Thị Hà,Bà Vũ Thị Hà,Người có mối quan hệ gia đình mật thiết với Phó Tổng Giám đốc,Doanh thu từ chuyển nhượng BĐS,-,4.540.411.000,,,,4540411000.0
