row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc vàquyền sử dụng đất",Bất động sản đầutur khác (*),Đơn vị tính: VND,"numeric__Nhà cửa,vật kiến trúc vàquyền sử dụng đất",numeric__Bất động sản đầutur khác (*),numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,572.944.206.600,185.250.272.310,758.194.478.910,572944206600.0,185250272310.0,758194478910.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,572.944.206.600,185.250.272.310,758.194.478.910,572944206600.0,185250272310.0,758194478910.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,3.135.792.727,40.266.827.699,43.402.620.426,3135792727.0,40266827699.0,43402620426.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,131.504.064.364,69.302.426.759,200.806.491.123,131504064364.0,69302426759.0,200806491123.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,19.292.612.352,6.360.690.984,25.653.303.336,19292612352.0,6360690984.0,25653303336.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,150.796.676.716,75.663.117.743,226.459.794.459,150796676716.0,75663117743.0,226459794459.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,441.440.142.236,115.947.845.551,557.387.987.787,441440142236.0,115947845551.0,557387987787.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,422.147.529.884,109.587.154.567,531.734.684.451,422147529884.0,109587154567.0,531734684451.0
