row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Agrita – Quảng Nam,Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty con,Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Phải trả lãi vay,Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > 9.409.232.878,Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > 10.286.000.002,numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty con,numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Phải trả lãi vay,numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > 9.409.232.878,numeric__Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 17) > 10.286.000.002
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Phải trả lãi vay,9.388.367.944,9.388.367.944,,,9388367944.0,9388367944.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải trả lãi vay,35.485.325.964,29.042.263.744,,,35485325964.0,29042263744.0
Công ty Za Hưng,Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải trả lãi vay,9.950.054.795,26.582.520.546,,,9950054795.0,26582520546.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải trả lãi vay,12.059.019.179,35.925.123.247,,,12059019179.0,35925123247.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải trả lãi vay,1.109.331.507,2.285.046.574,,,1109331507.0,2285046574.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,77.401.332.267,113.509.322.057,,,77401332267.0,113509322057.0
Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),,,,
Công ty Za Hưng,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Za Hưng,Công ty Za Hưng,Công ty con,Phải trả lãi vay,6.889.315.068,-,,,6889315068.0,
Công ty Surya,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Surya,Công ty Surya,Công ty con,Phải trả lãi vay,3.476.095.890,-,,,3476095890.0,
Công ty Agrita – Quảng Nam,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Agrita – Quảng Nam,Công ty Agrita – Quảng Nam,Công ty con,Phải trả lãi vay,1.395.493.151,-,,,1395493151.0,
Công ty Sông Tranh 4,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Sông Tranh 4,Công ty Sông Tranh 4,Công ty con,Phải trả lãi vay,1.562.054.795,-,,,1562054795.0,
Công ty Quản lý Hà Đô,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả lãi vay,327.945.205,-,,,327945205.0,
Công ty Quản lý và Kinh Doanh Hà Đô,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Quản lý và Kinh Doanh Hà Đô,Công ty Quản lý và Kinh Doanh Hà Đô,Công ty con,Phải trả lãi vay,152.260.274,-,,,152260274.0,
TỔNG CỘNG,Chi phí phải trả dài hạn (Thuyết minh số 17) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,13.803.164.383,-,,,13803164383.0,
