row_label_raw,row_label_full,STT > 1,Tên đơn vị > Công ty Agrita – Quảng Nam,Ngày 31 tháng 12 năm 2024 > Giá trị ghi số > 1.190.305.295.099,Ngày 31 tháng 12 năm 2024 > Giá trị hợp lý > (*),Ngày 31 tháng 12 năm 2023 > Giá trị ghi số > 1.190.305.295.099,Ngày 31 tháng 12 năm 2023 > Giá trị hợp lý > (*),numeric__Tên đơn vị > Công ty Agrita – Quảng Nam,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi số > 1.190.305.295.099,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị hợp lý > (*),numeric__Ngày 31 tháng 12 năm 2023 > Giá trị ghi số > 1.190.305.295.099,numeric__Ngày 31 tháng 12 năm 2023 > Giá trị hợp lý > (*)
2,2,2,Công ty Năng lượng Hà Đô,1.124.600.000.000,(*),1.124.600.000.000,(*),,1124600000000.0,,1124600000000.0,
3,3,3,Công ty Bình An Riverside,628.299.000.000,(*),628.299.000.000,(*),,628299000000.0,,628299000000.0,
4,4,4,Công ty Minh Long,417.218.779.435,(*),417.218.779.435,(*),,417218779435.0,,417218779435.0,
5,5,5,Công ty Za Hưng,371.629.000.000,(*),371.629.000.000,(*),,371629000000.0,,371629000000.0,
6,6,6,Công ty Quốc tế Hà Đô,367.428.647.832,(*),367.428.647.832,(*),,367428647832.0,,367428647832.0,
7,7,7,Công ty 756 Sài Gòn,283.500.000.000,(*),283.500.000.000,(*),,283500000000.0,,283500000000.0,
8,8,8,Công ty Thiết bị Giáo dục 1 (i),263.568.312.322,(*),663.377.802.322,(*),,263568312322.0,,663377802322.0,
9,9,9,Công ty Khánh Hà,196.842.885.000,(*),196.842.885.000,(*),,196842885000.0,,196842885000.0,
10,10,10,Công ty Sông Tranh 4,157.994.654.400,(*),157.994.654.400,(*),,157994654400.0,,157994654400.0,
11,11,11,Công ty Quản lý Hà Đô,7.365.043.169,(*),7.365.043.169,(*),,7365043169.0,,7365043169.0,
12,12,12,Công ty Quản lý và Kinh doanh Hà Đô,19.998.000.000,(*),19.998.000.000,(*),,19998000000.0,,19998000000.0,
,,,TỔNG CỘNG,5.028.749.617.257,,5.428.559.107.257,,,5028749617257.0,,5428559107257.0,
,,,Dự phòng đầu tư vào công ty con,16.301.017.353,,14.870.926.213,,,16301017353.0,,14870926213.0,
