row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Năm nay > Cổ tức đã công bố và đã trả trong năm,Năm trước > Cổ tức đã công bố và đã trả trong năm,numeric__Năm nay > Cổ tức đã công bố và đã trả trong năm,numeric__Năm trước > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,458.625.300.500,611.509.430.000,458625300500.0,611509430000.0
Cổ tức trả bằng tiền: 500 VND/cổ phiếu (i),Cổ tức trả bằng tiền: 500 VND/cổ phiếu (i),Cổ tức trả bằng tiền: 500 VND/cổ phiếu (i),152.878.420.500,-,152878420500.0,
Cổ tức trả bằng cổ phiếu:,Cổ tức trả bằng cổ phiếu:,Cổ tức trả bằng cổ phiếu:,,,,
30.574.688 cổ phiếu/305.756.841 cổ phiếu hiện hữu (năm trước: 61.150.943 cổ phiếu/244.605.898 cổ phiếu hiện hữu),30.574.688 cổ phiếu/305.756.841 cổ phiếu hiện hữu (năm trước: 61.150.943 cổ phiếu/244.605.898 cổ phiếu hiện hữu),30.574.688 cổ phiếu/305.756.841 cổ phiếu hiện hữu (năm trước: 61.150.943 cổ phiếu/244.605.898 cổ phiếu hiện hữu),,,,
(ii),30.574.688 cổ phiếu/305.756.841 cổ phiếu hiện hữu (năm trước: 61.150.943 cổ phiếu/244.605.898 cổ phiếu hiện hữu) > (ii),(ii),305.746.880.000,611.509.430.000,305746880000.0,611509430000.0
