row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024_1,Ngày 31 tháng 12 năm 2024_2,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023_1,Ngày 31 tháng 12 năm 2023_2,numeric__Ngày 31 tháng 12 năm 2024,numeric__Ngày 31 tháng 12 năm 2024_1,numeric__Ngày 31 tháng 12 năm 2024_2,numeric__Ngày 31 tháng 12 năm 2023,numeric__Ngày 31 tháng 12 năm 2023_1,numeric__Ngày 31 tháng 12 năm 2023_2
,,,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,,,,,,
Vốn góp của cổ đông,Vốn góp của cổ đông,Vốn góp của cổ đông,3.363.315.290.000,3.363.315.290.000,-,3.057.568.410.000,3.057.568.410.000,-,3363315290000.0,3363315290000.0,,3057568410000.0,3057568410000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.363.315.290.000,3.363.315.290.000,-,3.057.568.410.000,3.057.568.410.000,-,3363315290000.0,3363315290000.0,,3057568410000.0,3057568410000.0,
21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,,,,,,
,,,,,,Năm nay,,Đơn vị tính: VND,,,,,,
,,,,,,Năm nay,,Năm trước,,,,,,
Vốn đã góp của chủ sở hữuSố đầu năm,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức > Vốn đã góp của chủ sở hữuSố đầu năm,Vốn đã góp của chủ sở hữuSố đầu năm,,,,3.057.568.410.000,,2.446.058.980.000,,,,3057568410000.0,,2446058980000.0
Trả cổ tức bằng cổ phiếu,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức > Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,,,,305.746.880.000,,611.509.430.000,,,,305746880000.0,,611509430000.0
Số cuối năm,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức > Số cuối năm,Số cuối năm,,,,3.363.315.290.000,,3.057.568.410.000,,,,3363315290000.0,,3057568410000.0
Cổ tức đã chia,21.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức > Cổ tức đã chia,Cổ tức đã chia,,,,458.625.300.500,,611.509.430.000,,,,458625300500.0,,611509430000.0
