row_label_raw,row_label_full,5.,Chi nhánh,Nguyễn Hữu Cảnh 2,"Lầu 1+2, số 280A4 Lương Định Cửa, Phường Bình Hưng, Thành phố Hồ Chí Minh",numeric__Chi nhánh,numeric__Nguyễn Hữu Cảnh 2,"numeric__Lầu 1+2, số 280A4 Lương Định Cửa, Phường Bình Hưng, Thành phố Hồ Chí Minh"
6.,6.,6.,Chi nhánh,Thảo Điền,"Số 193 Nguyễn Hoàng, Phường Bình Trưng, Thành phố Hồ Chí Minh",,,
7.,7.,7.,Chi nhánh,Sala 2,"Số 3 Đường số 10, SH07-2 Khu đô thị Sala - Đại Quang Minh, Phường An Khánh, Thành phố Hồ Chí Minh",,,
8.,8.,8.,Chi nhánh,Thủ Thiêm 2,"Lầu 1 Số 1H Trần Não, Phường An Khánh, Thành phố Hồ Chí Minh",,,
9.,9.,9.,Chi nhánh,Lương Định Cửa,"Số 193 Nguyễn Hoàng, Phường Bình Trưng, Thành phố Hồ Chí Minh",,,
10.,10.,10.,Chi nhánh,Thủ Đức,"Số 68 Đường Số 27, KP5, Phường Hiệp Bình, Thành phố Hồ Chí Minh",,,
11.,11.,11.,Chi nhánh,Diamond Island,"LK3-21, Saigon Mystery Villas, Phường Bình Trưng, Thành phố Hồ Chí Minh",,,
12.,12.,12.,Chi nhánh,Masterise,"Số 3 Đường số 10, SH07-2 Khu đô thị Sala - Đại Quang Minh, Phường An Khánh, Thành phố Hồ Chí Minh",,,
13.,13.,13.,Chi nhánh,Thành phố mới Bình Dương,"Căn 01, Dây D - Khu nhà ở thương mại Green Pearl, Đường Võ Nguyên Giáp, Phường Bình Dương, Thành phố Hồ Chí Minh",,,
14.,14.,14.,Chi nhánh,Nam Sài Gòn,"B10, Khu dân cư Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh",,,
15.,15.,15.,Chi nhánh,Phúc Long,"Tầng G B12 - B13 - B14 Khu dân cư Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh",,,
16.,16.,16.,Chi nhánh,Thiên Long,"Tầng 2 B12 - B13 - B14 Khu dân cư Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh",,,
17.,17.,17.,Chi nhánh,Hưng Long,"Tầng 4 B12 - B13 - B14 Khu dân cư Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh",,,
