row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm 2025,Năm 2024,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025,numeric__Năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,21,601.110.820.586,309.842.135.613,1.0,21.0,601110820586.0,309842135613.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,601.110.820.586,309.842.135.613,10.0,,601110820586.0,309842135613.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,22,487.777.933.925,264.434.263.115,11.0,22.0,487777933925.0,264434263115.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,113.332.886.661,45.407.872.498,20.0,,113332886661.0,45407872498.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,23,160.249.459.211,191.837.060.270,21.0,23.0,160249459211.0,191837060270.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,24,80.320.688.295,71.843.315.911,22.0,24.0,80320688295.0,71843315911.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,69.997.258.627,70.946.813.011,23.0,,69997258627.0,70946813011.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,25,64.926.509.430,53.656.506.562,25.0,25.0,64926509430.0,53656506562.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,26,37.394.827.835,32.415.515.923,26.0,26.0,37394827835.0,32415515923.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,90.940.320.312,79.329.594.372,30.0,,90940320312.0,79329594372.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,1.685.130.718,2.792.247.381,31.0,,1685130718.0,2792247381.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,27,5.312.678.810,10.692.023.362,32.0,27.0,5312678810.0,10692023362.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,(3.627.548.092),(7.899.775.981),40.0,,-3627548092.0,-7899775981.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,87.312.772.220,71.429.818.391,50.0,,87312772220.0,71429818391.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,29,18.625.105.914,15.757.807.857,51.0,29.0,18625105914.0,15757807857.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,68.687.666.306,55.672.010.534,60.0,,68687666306.0,55672010534.0
