row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo,THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo_3,MÃU SỐ B09 - DN,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính riêng kèm theo_3,numeric__MÃU SỐ B09 - DN
"Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn","Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn","Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn","Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn","Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn","Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn","Chi tiết các hợp đồng vay ngân hàng, cá nhân ngắn dài hạn",,,,
Hợp đồng,Hợp đồng,Hợp đồng,Hạn mức,Số dư tại ngày31/12/2025,Thời hạn và mục đích vay,Tài sản đảm bảo,,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,Ngân hàng TMCP Ngoại thương Việt Nam - Chi Nhánh Phú Nhuận,,,,
Hợp đồng số 035/PNH-PKH/KBB-24TD ngày08/01/2025,Hợp đồng số 035/PNH-PKH/KBB-24TD ngày08/01/2025,Hợp đồng số 035/PNH-PKH/KBB-24TD ngày08/01/2025,15 tỷ đồng,15 tỷ đồng,- Thời gian duy trì hạn mức: 12 tháng kể từ ngày ký- Mục đích: Bổ sung vốn lưu động.,"- Quyền sử dụng đất và tài sản gắn liền với đất tại thừa đất số 218, tờ bản đồ số 20, phường Tân Hưng, TP. Hồ Chí Minh- Quyền đồi nợ luân chuyển phát sinh trong quá trình kinh",,,,
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Long An,,,,
Hợp đồng số14477/25MN/HĐTDngày 26/05/2025,Hợp đồng số14477/25MN/HĐTDngày 26/05/2025,Hợp đồng số14477/25MN/HĐTDngày 26/05/2025,130 tỷ đồng,129.999.424.523đồng,- Thời gian cấp hạn mức: 36 tháng kể từ ngày ký Hợp đồng tin dụng.- Mục đích: Bổ sung vốn lưu động phục vụ cho hoạt động môi giới bất động sản.,"Tài sản đảm bảo của bên thứ ba bao gồm cổ phiếu của Công ty Cổ phần Tập đoàn Khải Hoàn Land và Quyền tài sản phát sinh từ hợp đồng chuyển nhượng quyền sử dụng một số lỗ đất tại Khu phố Hưng Gia, phường Tân Hưng, TP. Hồ Chí Minh",,,,
Cá nhân và tổ chức khác,Cá nhân và tổ chức khác,Cá nhân và tổ chức khác,Cá nhân và tổ chức khác,Cá nhân và tổ chức khác,Cá nhân và tổ chức khác,Cá nhân và tổ chức khác,,,,
Hợp đồng ký với cáccá nhân và tổ chức,Hợp đồng ký với cáccá nhân và tổ chức,Hợp đồng ký với cáccá nhân và tổ chức,-,528.862.000.000đồng,"Thời hạn vay từ 6 tháng - 28 tháng.Mục đích: bổ sung vốn lưu động.Lãi suất: từ 9,4% - 11,5%/năm",Không có tài sản đảm bảo,,,,
