row_label_raw,row_label_full,col_0,Thiết bị quản lýVND,CộngVND,numeric__Thiết bị quản lýVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2025,NGUYÊN GIÁ > Tại ngày 01/01/2025,Tại ngày 01/01/2025,4.550.328.026,4.550.328.026,4550328026.0,4550328026.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(102.400.000),(102.400.000),-102400000.0,-102400000.0
Tại ngày 31/12/2025,NGUYÊN GIÁ > Tại ngày 31/12/2025,Tại ngày 31/12/2025,4.447.928.026,4.447.928.026,4447928026.0,4447928026.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2025,Tại ngày 01/01/2025,4.058.779.303,4.058.779.303,4058779303.0,4058779303.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,201.486.501,201.486.501,201486501.0,201486501.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(13.396.414),(13.396.414),-13396414.0,-13396414.0
Tại ngày 31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2025,Tại ngày 31/12/2025,4.246.869.390,4.246.869.390,4246869390.0,4246869390.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2025,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2025,Tại ngày 01/01/2025,491.548.723,491.548.723,491548723.0,491548723.0
Tại ngày 31/12/2025,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2025,Tại ngày 31/12/2025,201.058.636,201.058.636,201058636.0,201058636.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,4.098.015.065,4.098.015.065,4098015065.0,4098015065.0
