row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2019 VND,01/01/2019 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__01/01/2019 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.577.780.060.033,2.648.974.370.857,,300.0,,2577780060033.0,2648974370857.0
I.,I.,I.,Nợ ngắn hạn,310,,2.553.192.509.856,2.621.762.210.443,,310.0,,2553192509856.0,2621762210443.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,488.242.209.532,445.725.967.834,,311.0,16.0,488242209532.0,445725967834.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,17,27.384.977.885,37.256.777.741,,312.0,17.0,27384977885.0,37256777741.0
3.,3.,3.,Thuế và các khoản khác phải nộp Nhà nước,313,18,140.889.903.972,107.370.979.627,,313.0,18.0,140889903972.0,107370979627.0
4.,4.,4.,Phải trả người lao động,314,,139.908.181.574,112.568.238.952,,314.0,,139908181574.0,112568238952.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,19,6.583.411.474,3.008.342.529,,315.0,19.0,6583411474.0,3008342529.0
6.,6.,6.,Phải trả ngắn hạn khác,319,20.a,19.294.323.498,136.529.393.965,,319.0,,19294323498.0,136529393965.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,21,1.664.732.020.504,1.727.184.074.877,,320.0,21.0,1664732020504.0,1727184074877.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,66.157.481.417,52.118.434.918,,322.0,,66157481417.0,52118434918.0
II.,II.,II.,Nợ dài hạn,330,,24.587.550.177,27.212.160.414,,330.0,,24587550177.0,27212160414.0
1.,1.,1.,Phải trả dài hạn khác,337,20.b,19.307.101.887,18.776.975.691,,337.0,,19307101887.0,18776975691.0
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,22,5.280.448.290,8.435.184.723,,343.0,22.0,5280448290.0,8435184723.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,6.470.022.366.408,5.352.708.848.470,,400.0,,6470022366408.0,5352708848470.0
I.,I.,I.,Vốn chủ sở hữu,410,23,6.469.522.366.408,5.352.708.848.470,,410.0,23.0,6469522366408.0,5352708848470.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,23,3.569.399.550.000,2.925.746.090.000,,411.0,23.0,3569399550000.0,2925746090000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,23,3.569.399.550.000,2.925.746.090.000,,,23.0,3569399550000.0,2925746090000.0
,,,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,2.,2.,Thặng dư vốn cổ phần,412,23,353.499.663.780,288.320.082.456,,412.0,23.0,353499663780.0,288320082456.0
3.,3.,3.,Cổ phiếu quỹ,415,23,(834.457.318.216),(834.457.318.216),,415.0,23.0,-834457318216.0,-834457318216.0
4.,4.,4.,Quỹ đầu tư phát triển,418,23,567.823.798.211,505.806.238.330,,418.0,23.0,567823798211.0,505806238330.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,23,2.813.256.672.633,2.467.293.755.900,,421.0,23.0,2813256672633.0,2467293755900.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,1.672.182.746.567,1.473.238.329.281,,,,1672182746567.0,1473238329281.0
,,,- LNST chưa phân phối kỳ này,421b,,1.141.073.926.066,994.055.426.619,,,,1141073926066.0,994055426619.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,,-,-,,429.0,,,
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,500.000.000,-,,430.0,,500000000.0,
1.,1.,1.,Nguồn kinh phí,431,,500.000.000,-,,431.0,,500000000.0,
,,,TỔNG CỘNG NGUỒN VỐN,440,,9.047.802.426.441,8.001.683.219.327,,440.0,,9047802426441.0,8001683219327.0
