row_label_raw,row_label_full,31/12/2019,Tài sản của bộ phận > Nguyên giáTSCD HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐNăm 2019,numeric__Tài sản của bộ phận > Nguyên giáTSCD HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐNăm 2019
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.265.845.432.900,(1.595.697.668.461),158.134.158.402,2.026.804.433.053,48.223.384.713,169.064.188.553,3265845432900.0,-1595697668461.0,158134158402.0,2026804433053.0,48223384713.0,169064188553.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.952.348.685.607,(1.408.421.948.069),46.410.536.014,1.090.798.511.641,203.846.893.107,154.544.994.221,1952348685607.0,-1408421948069.0,46410536014.0,1090798511641.0,203846893107.0,154544994221.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.848.320.176,(2.848.320.176),30.080.273.118,869.080.394.924,16.660.404.429,-,2848320176.0,-2848320176.0,30080273118.0,869080394924.0,16660404429.0,
Họat động SXKD khác,Họat động SXKD khác,Họat động SXKD khác,3.004.302.605.678,(1.084.250.608.785),76.253.214.426,6.725.232.600.442,2.338.617.343.656,149.789.065.367,3004302605678.0,-1084250608785.0,76253214426.0,6725232600442.0,2338617343656.0,149789065367.0
,,,8.225.345.044.361,(4.091.218.545.491),310.878.181.960,10.711.915.940.060,2.607.348.025.905,473.398.248.141,8225345044361.0,-4091218545491.0,310878181960.0,10711915940060.0,2607348025905.0,473398248141.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(29.567.965.872),(1.664.113.513.619),(29.567.965.872),-,,,-29567965872.0,-1664113513619.0,-29567965872.0,
Tổng cộng,Tổng cộng,Tổng cộng,8.225.345.044.361,(4.091.218.545.491),281.310.216.088,9.047.802.426.441,2.577.780.060.033,473.398.248.141,8225345044361.0,-4091218545491.0,281310216088.0,9047802426441.0,2577780060033.0,473398248141.0
01/01/2019,01/01/2019,01/01/2019,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐNăm 2018,,,,,,
01/01/2019,01/01/2019,01/01/2019,Nguyên giáTSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐNăm 2018,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2019 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.113.369.997.003,(1.432.738.470.915),165.200.495.389,2.035.635.074.686,100.358.695.970,183.217.830.887,3113369997003.0,-1432738470915.0,165200495389.0,2035635074686.0,100358695970.0,183217830887.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2019 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.911.392.334.995,(1.268.391.512.108),55.180.746.038,1.061.005.226.605,177.682.189.569,165.820.000.000,1911392334995.0,-1268391512108.0,55180746038.0,1061005226605.0,177682189569.0,165820000000.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/2019 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.848.320.176,(2.848.320.176),61.426.759.869,898.258.189.218,34.351.204.036,-,2848320176.0,-2848320176.0,61426759869.0,898258189218.0,34351204036.0,
Họat động SXKD khác,01/01/2019 > Họat động SXKD khác,Họat động SXKD khác,2.967.897.583.642,(937.123.959.621),247.475.632.080,5.701.787.450.108,2.397.104.195.090,138.277.867.935,2967897583642.0,-937123959621.0,247475632080.0,5701787450108.0,2397104195090.0,138277867935.0
,,,7.995.508.235.816,(3.641.102.262.820),529.283.633.376,9.696.685.940.617,2.709.496.284.665,487.315.698.822,7995508235816.0,-3641102262820.0,529283633376.0,9696685940617.0,2709496284665.0,487315698822.0
Các khoản loại trừ,01/01/2019 > Các khoản loại trừ,Các khoản loại trừ,-,-,(60.521.913.808),(1.695.002.721.290),(60.521.913.808),-,,,-60521913808.0,-1695002721290.0,-60521913808.0,
Tổng cộng,01/01/2019 > Tổng cộng,Tổng cộng,7.995.508.235.816,(3.641.102.262.820),468.761.719.568,8.001.683.219.327,2.648.974.370.857,487.315.698.822,7995508235816.0,-3641102262820.0,468761719568.0,8001683219327.0,2648974370857.0,487315698822.0
