row_label_raw,row_label_full,col_0,col_1,31/12/2019VND,31/12/2019VND_1,01/01/2019VND,numeric__col_1,numeric__31/12/2019VND,numeric__31/12/2019VND_1,numeric__01/01/2019VND
Vàng tiên tê,Vàng tiên tê,Vàng tiên tê,Vàng tiên tê,Vàng tiên tê,Vàng tiên tê,Vàng tiên tê,,,,
+ Vàng miếng SJC,Vàng tiên tê > + Vàng miếng SJC,+ Vàng miếng SJC,4 miếng,16.900.000,4 miếng,14.560.000,,16900000.0,,14560000.0
+ Vàng nhãn SJC,Vàng tiên tê > + Vàng nhãn SJC,+ Vàng nhãn SJC,12 nhãn,50.700.000,12 nhãn,43.524.000,,50700000.0,,43524000.0
Cộng,Vàng tiên tê > Cộng,Cộng,Cộng,67.600.000,67.600.000,58.084.000,,67600000.0,67600000.0,58084000.0
