row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sửa đậu nành,Sản phẩm Sửa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sửa đậu nành,numeric__Sản phẩm Sửa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2019,Năm 2018,Năm 2019,Năm 2018,Năm 2019,Năm 2018,Năm 2019,Năm 2018,Năm 2019,Năm 2018,Năm 2019,Năm 2018,,,,,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,1.486.045.747.981,2.250.918.920.910,4.265.761.889.133,3.862.620.494.387,1.710.568.592.806,1.415.299.895.117,1.611.592.646.902,1.591.998.488.376,(1.393.079.624.099),(1.089.799.375.164),7.680.889.252.723,8.031.038.423.626,1486045747981.0,2250918920910.0,4265761889133.0,3862620494387.0,1710568592806.0,1415299895117.0,1611592646902.0,1591998488376.0,-1393079624099.0,-1089799375164.0,7680889252723.0,8031038423626.0
Giá vốn bộ phận,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,1.331.458.940.088,1.976.401.338.649,2.351.594.195.662,2.223.136.965.517,1.659.771.471.617,1.365.871.320.612,1.265.549.845.695,1.251.790.274.034,(1.383.887.642.758),(1.080.408.605.284),5.224.486.810.304,5.736.791.293.528,1331458940088.0,1976401338649.0,2351594195662.0,2223136965517.0,1659771471617.0,1365871320612.0,1265549845695.0,1251790274034.0,-1383887642758.0,-1080408605284.0,5224486810304.0,5736791293528.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,154.586.807.893,274.517.582.261,1.914.167.693.471,1.639.483.528.870,50.797.121.189,49.428.574.505,346.042.801.207,340.208.214.342,(9.191.981.341),(9.390.769.880),2.456.402.442.419,2.294.247.130.098,154586807893.0,274517582261.0,1914167693471.0,1639483528870.0,50797121189.0,49428574505.0,346042801207.0,340208214342.0,-9191981341.0,-9390769880.0,2456402442419.0,2294247130098.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,138.023.568.910,87.225.367.833,,,,,,,,,,,138023568910.0,87225367833.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,77.362.094.057,96.150.990.482,,,,,,,,,,,77362094057.0,96150990482.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,785.326.185.604,761.581.172.250,,,,,,,,,,,785326185604.0,761581172250.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,214.246.805.827,175.794.978.702,,,,,,,,,,,214246805827.0,175794978702.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,1.517.490.925.841,1.347.945.356.497,,,,,,,,,,,1517490925841.0,1347945356497.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,32.973.976.754,58.183.846.887,,,,,,,,,,,32973976754.0,58183846887.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,7.288.897.373,826.514.241,,,,,,,,,,,7288897373.0,826514241.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,25.685.079.381,57.357.332.646,,,,,,,,,,,25685079381.0,57357332646.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,1.543.176.005.222,1.405.302.689.143,,,,,,,,,,,1543176005222.0,1405302689143.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,251.399.404.156,164.951.491.524,,,,,,,,,,,251399404156.0,164951491524.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.291.776.601.066,1.240.351.197.619,,,,,,,,,,,1291776601066.0,1240351197619.0
