row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mô đá Đắk Wei,Website,Phần mềm máy tính,Chi phí triển khai (a),Quan hệ khách hàng khế ước (b),Cộng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mô đá Đắk Wei,numeric__Website,numeric__Phần mềm máy tính,numeric__Chi phí triển khai (a),numeric__Quan hệ khách hàng khế ước (b),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,53.536.754.270,617.689.701,34.760.000,523.214.792,111.456.632.412,-,166.169.051.175,53536754270.0,617689701.0,34760000.0,523214792.0,111456632412.0,,166169051175.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,-,-,-,80.000.000,11.065.147.161,32.397.712.500,43.542.859.661,,,,80000000.0,11065147161.0,32397712500.0,43542859661.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,-,-,-,-,1.470.406.483,595.587.500,2.065.993.983,,,,,1470406483.0,595587500.0,2065993983.0
Giảm do hợp nhất,Nguyên giá > Giảm do hợp nhất,Giảm do hợp nhất,14.846.040.000,-,-,170.135.000,-,-,15.016.175.000,14846040000.0,,,170135000.0,,,15016175000.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,38.690.714.270,617.689.701,34.760.000,433.079.792,123.992.186.056,32.993.300.000,196.761.729.819,38690714270.0,617689701.0,34760000.0,433079792.0,123992186056.0,32993300000.0,196761729819.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,44.969.375,68.926.109,8.207.219,351.341.166,101.236.246.425,-,101.709.690.294,44969375.0,68926109.0,8207219.0,351341166.0,101236246425.0,,101709690294.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,21.585.300,36.334.680,11.586.672,35.492.635,7.303.431.825,1.619.885.625,9.028.316.737,21585300.0,36334680.0,11586672.0,35492635.0,7303431825.0,1619885625.0,9028316737.0
Tăng do hợp nhất,Tăng do hợp nhất,Tăng do hợp nhất,-,-,-,-,-,-,-,,,,,,,
CL do chuyển đổi,Tăng do hợp nhất > CL do chuyển đổi,CL do chuyển đổi,-,-,-,-,1.285.071.750,29.779.375,1.314.851.125,,,,,1285071750.0,29779375.0,1314851125.0
Giảm do hợp nhất,Tăng do hợp nhất > Giảm do hợp nhất,Giảm do hợp nhất,-,-,-,76.010.969,-,-,76.010.969,,,,76010969.0,,,76010969.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,-,-,-,-,,,,,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,66.554.675,105.260.789,19.793.891,310.822.832,109.824.750.000,1.649.665.000,111.976.847.187,66554675.0,105260789.0,19793891.0,310822832.0,109824750000.0,1649665000.0,111976847187.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,53.491.784.895,548.763.592,26.552.781,171.873.626,10.220.385.987,-,64.459.360.881,53491784895.0,548763592.0,26552781.0,171873626.0,10220385987.0,,64459360881.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,38.624.159.595,512.428.912,14.966.109,122.256.960,14.167.436.056,31.343.635.000,84.784.882.632,38624159595.0,512428912.0,14966109.0,122256960.0,14167436056.0,31343635000.0,84784882632.0
