row_label_raw,row_label_full,Nội dung,Phương án sử dụng vốn,Đã sử dụng,Chưa sử dụng,numeric__Phương án sử dụng vốn,numeric__Đã sử dụng,numeric__Chưa sử dụng
"Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt","Dự án chăn nuôi, phát triển bò sữa và bò thịt",300.000.000.000,155.133.744.945,144.866.255.055,300000000000.0,155133744945.0,144866255055.0
Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,Dự án thủy điện và năng lượng,150.000.000.000,49.489.694.169,100.510.305.831,150000000000.0,49489694169.0,100510305831.0
Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,Bổ sung vốn lưu động trong kinh doanh,50.000.000.000,50.000.000.000,-,50000000000.0,50000000000.0,
Cộng,Cộng,Cộng,500.000.000.000,254.623.439.114,245.376.560.886,500000000000.0,254623439114.0,245376560886.0
