row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2016 VND,01/01/2016 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__01/01/2016 VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,3.084.461.835.360,3.135.385.580.757,,100.0,,3084461835360.0,3135385580757.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,96.808.960.822,220.107.949.123,,110.0,5.0,96808960822.0,220107949123.0
1.,1.,1.,Tiền,111,,55.799.705.616,96.121.254.089,,111.0,,55799705616.0,96121254089.0
2.,2.,2.,Các khoản tương đương tiền,112,,41.009.255.206,123.986.695.034,,112.0,,41009255206.0,123986695034.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,580.094.590.556,837.264.666.667,,120.0,,580094590556.0,837264666667.0
1.,1.,1.,Chứng khoán kinh doanh,121,6,264.000.000.000,264.000.000.000,,121.0,6.0,264000000000.0,264000000000.0
2.,2.,2.,Đầu tư nắm giữ đến ngày đáo hạn,123,7.a,316.094.590.556,573.264.666.667,,123.0,,316094590556.0,573264666667.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.990.008.870.087,1.523.713.012.610,,130.0,,1990008870087.0,1523713012610.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,8,601.506.674.812,421.320.582.095,,131.0,8.0,601506674812.0,421320582095.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,9,249.464.982.797,196.979.291.054,,132.0,9.0,249464982797.0,196979291054.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,10.a,900.157.764.619,701.001.957.372,,135.0,,900157764619.0,701001957372.0
4.,4.,4.,Phải thu ngắn hạn khác,136,11.a,253.259.588.778,217.129.586.506,,136.0,,253259588778.0,217129586506.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,12,(14.380.140.919),(12.727.607.230),,137.0,12.0,-14380140919.0,-12727607230.0
6.,6.,6.,Tài sản thiếu chờ xử lý,139,,-,9.202.813,,139.0,,,9202813.0
IV.,IV.,IV.,Hàng tồn kho,140,13,413.496.716.240,535.383.509.352,,140.0,13.0,413496716240.0,535383509352.0
1.,1.,1.,Hàng tồn kho,141,,430.989.454.152,555.758.377.420,,141.0,,430989454152.0,555758377420.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(17.492.737.912),(20.374.868.068),,149.0,,-17492737912.0,-20374868068.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,4.052.697.655,18.916.443.005,,150.0,,4052697655.0,18916443005.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,14.a,374.285.506,1.201.639.542,,151.0,,374285506.0,1201639542.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,3.677.359.715,17.209.941.556,,152.0,,3677359715.0,17209941556.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,23,1.052.434,504.861.907,,153.0,23.0,1052434.0,504861907.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,3.926.506.138.248,3.680.221.906.917,,200.0,,3926506138248.0,3680221906917.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,248.386.304.573,182.708.702.723,,210.0,,248386304573.0,182708702723.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,10.b,225.647.099.300,157.343.713.318,,215.0,,225647099300.0,157343713318.0
2.,2.,2.,Phải thu dài hạn khác,216,11.b,22.739.205.273,25.364.989.405,,216.0,,22739205273.0,25364989405.0
II.,II.,II.,Tài sản cố định,220,,2.589.835.115.240,2.536.676.671.940,,220.0,,2589835115240.0,2536676671940.0
1.,1.,1.,Tài sản cố định hữu hình,221,15,2.505.050.232.608,2.472.217.311.059,,221.0,15.0,2505050232608.0,2472217311059.0
,,,- Nguyên giá,222,,2.947.624.020.324,2.837.238.847.437,,222.0,,2947624020324.0,2837238847437.0
,,,- Giá trị hao mòn lũy kế,223,,(442.573.787.716),(365.021.536.378),,223.0,,-442573787716.0,-365021536378.0
2.,2.,2.,Tài sản cố định vô hình,227,16,84.784.882.632,64.459.360.881,,227.0,16.0,84784882632.0,64459360881.0
,,,- Nguyên giá,228,,196.761.729.819,166.169.051.175,,228.0,,196761729819.0,166169051175.0
,,,- Giá trị hao mòn lũy kế,229,,(111.976.847.187),(101.709.690.294),,229.0,,-111976847187.0,-101709690294.0
III.,III.,III.,Bất động sản đầu tư,230,17,108.216.516.657,108.928.078.646,,230.0,17.0,108216516657.0,108928078646.0
,,,- Nguyên giá,231,,124.210.456.151,121.311.884.456,,231.0,,124210456151.0,121311884456.0
,,,- Giá trị hao mòn lũy kế,232,,(15.993.939.494),(12.383.805.810),,232.0,,-15993939494.0,-12383805810.0
