row_label_raw,row_label_full,"Giá trị còn lại, chi phí thanh lý của tài sản cố định thanh lý",Năm 2016 > 602.856.025,Năm 2015 > 220.862.749,numeric__Năm 2016 > 602.856.025,numeric__Năm 2015 > 220.862.749
"Tiền phạt, truy thu thuế (*)","Tiền phạt, truy thu thuế (*)","Tiền phạt, truy thu thuế (*)",5.718.892.643,217.060.222,5718892643.0,217060222.0
"Chi phí không hợp lý, hợp lệ","Chi phí không hợp lý, hợp lệ","Chi phí không hợp lý, hợp lệ",1.781.171.891,2.223.999.152,1781171891.0,2223999152.0
Chi phí khác,Chi phí khác,Chi phí khác,133.787.976,1.760.426.438,133787976.0,1760426438.0
Cộng,Cộng,Cộng,8.236.708.535,4.422.348.561,8236708535.0,4422348561.0
