row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Nhà cửa vật kiến trúc,Cộng,numeric__Quyền sử dụng đất (*),numeric__Nhà cửa vật kiến trúc,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,66.720.417.973,54.591.466.483,121.311.884.456,66720417973.0,54591466483.0,121311884456.0
Tăng do mất QKS công ty con,Nguyên giá > Tăng do mất QKS công ty con,Tăng do mất QKS công ty con,-,2.898.571.695,2.898.571.695,,2898571695.0,2898571695.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,66.720.417.973,57.490.038.178,124.210.456.151,66720417973.0,57490038178.0,124210456151.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,12.383.805.810,12.383.805.810,,12383805810.0,12383805810.0
Tăng do mất QKS công ty con,Khấu hao > Tăng do mất QKS công ty con,Tăng do mất QKS công ty con,-,1.286.532.080,1.286.532.080,,1286532080.0,1286532080.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,2.323.601.604,2.323.601.604,,2323601604.0,2323601604.0
Giảm trong kỳ,Giảm trong kỳ,Giảm trong kỳ,-,-,-,,,
Số cuối kỳ,Giảm trong kỳ > Số cuối kỳ,Số cuối kỳ,-,15.993.939.494,15.993.939.494,,15993939494.0,15993939494.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,66.720.417.973,42.207.660.673,108.928.078.646,66720417973.0,42207660673.0,108928078646.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,66.720.417.973,41.496.098.684,108.216.516.657,66720417973.0,41496098684.0,108216516657.0
