row_label_raw,row_label_full,Chỉ tiêu,"Bán hàng hóa, thành phẩm","Bán gỗ, Sản phẩm từ gỗ, cao su, NN",Kinh doanh phân bón,Công trình xây dựng và trạm thu phí,Dịch vụ bến xe và xe buýt,Hoạt động khai thác đá,"Dịch vụ khác cho thuê TS , khách sạn...",Đơn vị tính: VND Tổng cộng,"numeric__Bán hàng hóa, thành phẩm","numeric__Bán gỗ, Sản phẩm từ gỗ, cao su, NN",numeric__Kinh doanh phân bón,numeric__Công trình xây dựng và trạm thu phí,numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động khai thác đá,"numeric__Dịch vụ khác cho thuê TS , khách sạn...",numeric__Đơn vị tính: VND Tổng cộng
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,711.398.310.044,415.275.737.289,278.590.832.931,96.723.695.456,20.888.061.676,79.030.679.021,35.807.773.858,1.637.715.090.275,711398310044.0,415275737289.0,278590832931.0,96723695456.0,20888061676.0,79030679021.0,35807773858.0,1637715090275.0
Giá vốn của bộ phận,Giá vốn của bộ phận,Giá vốn của bộ phận,632.329.821.196,386.947.011.063,275.138.338.021,75.261.774.123,10.650.771.989,72.724.820.993,27.996.227.730,1.481.048.765.115,632329821196.0,386947011063.0,275138338021.0,75261774123.0,10650771989.0,72724820993.0,27996227730.0,1481048765115.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,79.068.488.848,28.328.726.226,3.452.494.910,21.461.921.333,10.237.289.687,6.305.858.028,7.811.546.128,156.666.325.160,79068488848.0,28328726226.0,3452494910.0,21461921333.0,10237289687.0,6305858028.0,7811546128.0,156666325160.0
Tài sản bộ phận tại ngày 31/12/2015,Tài sản bộ phận tại ngày 31/12/2015,Tài sản bộ phận tại ngày 31/12/2015,876.815.851.279,2.452.449.491.686,53.940.931.185,2.906.077.515.930,43.429.333.896,40.746.344.860,362.785.577.651,6.736.245.046.487,876815851279.0,2452449491686.0,53940931185.0,2906077515930.0,43429333896.0,40746344860.0,362785577651.0,6736245046487.0
Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,,,,,,,,79.362.441.187,,,,,,,,79362441187.0
Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,,,,,,,,6.815.607.487.674,,,,,,,,6815607487674.0
Nợ phải trả bộ phận tại ngày 31/12/2015,Nợ phải trả bộ phận tại ngày 31/12/2015,Nợ phải trả bộ phận tại ngày 31/12/2015,435.535.828.280,1.749.567.422.836,31.458.682.730,2.356.357.883.861,4.326.864.238,-,70.000.616.250,4.647.247.298.195,435535828280.0,1749567422836.0,31458682730.0,2356357883861.0,4326864238.0,,70000616250.0,4647247298195.0
Nợ phải trả không phân bổ Tổng nợ phải trả,Nợ phải trả không phân bổ Tổng nợ phải trả,Nợ phải trả không phân bổ Tổng nợ phải trả,,,,,,,,11.920.102.227,,,,,,,,11920102227.0
Nợ phải trả không phân bổ Tổng nợ phải trả,Nợ phải trả không phân bổ Tổng nợ phải trả,Nợ phải trả không phân bổ Tổng nợ phải trả,,,,,,,,4.659.167.400.422,,,,,,,,4659167400422.0
Khấu hao và chi phí phân bổ,Khấu hao và chi phí phân bổ,Khấu hao và chi phí phân bổ,11.514.546.679,5.111.268.807,377.570.557,21.511.479.884,5.048.051.809,761.015.412,5.517.019.616,49.840.952.764,11514546679.0,5111268807.0,377570557.0,21511479884.0,5048051809.0,761015412.0,5517019616.0,49840952764.0
- Khấu hao,- Khấu hao,- Khấu hao,11.332.132.747,4.617.099.034,377.570.557,21.125.647.022,3.937.456.263,678.393.630,5.169.444.710,47.237.743.963,11332132747.0,4617099034.0,377570557.0,21125647022.0,3937456263.0,678393630.0,5169444710.0,47237743963.0
"- Chi phí phân bổ142,242","- Chi phí phân bổ142,242","- Chi phí phân bổ142,242",182.413.932,494.169.773,-,385.832.862,1.110.595.546,82.621.782,347.574.906,2.603.208.801,182413932.0,494169773.0,,385832862.0,1110595546.0,82621782.0,347574906.0,2603208801.0
