row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2016 VND,Năm 2015 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2016 VND,numeric__Năm 2015 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,32,2.490.622.091.974,1.645.084.969.683,,1.0,32.0,2490622091974.0,1645084969683.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,13.340.460.925,7.369.879.408,,2.0,,13340460925.0,7369879408.0
3.,3.,3.,Doanh thu thuần về bán hàng và c.cấp dịch vụ,10,,2.477.281.631.049,1.637.715.090.275,,10.0,,2477281631049.0,1637715090275.0
4.,4.,4.,Giá vốn hàng bán,11,33,2.004.465.067.580,1.481.048.765.115,,11.0,33.0,2004465067580.0,1481048765115.0
5.,5.,5.,Lợi nhuận gộp bán hàng và c.cấp dịch vụ,20,,472.816.563.469,156.666.325.160,,20.0,,472816563469.0,156666325160.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,34,87.908.305.215,104.493.457.068,,21.0,34.0,87908305215.0,104493457068.0
7.,7.,7.,Chi phí tài chính,22,35,309.517.738.879,159.455.236.286,,22.0,35.0,309517738879.0,159455236286.0
,,,Trong đó: Chi phí lãi vay,23,,295.657.059.415,162.207.084.144,,23.0,,295657059415.0,162207084144.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty l.doanh, l.kết",24,,164.488.199,204.492.177,,24.0,,164488199.0,204492177.0
9.,9.,9.,Chi phí bán hàng,25,36.a,18.970.902.120,14.521.100.051,,25.0,,18970902120.0,14521100051.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,36.b,131.360.007.832,64.186.030.221,,26.0,,131360007832.0,64186030221.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,101.040.708.052,23.201.907.847,,30.0,,101040708052.0,23201907847.0
12.,12.,12.,Thu nhập khác,31,37,2.916.680.824,64.029.845.334,,31.0,37.0,2916680824.0,64029845334.0
13.,13.,13.,Chi phí khác,32,38,8.236.708.535,4.422.348.561,,32.0,38.0,8236708535.0,4422348561.0
14.,14.,14.,Lợi nhuận khác,40,,(5.320.027.711),59.607.496.773,,40.0,,-5320027711.0,59607496773.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,95.720.680.341,82.809.404.620,,50.0,,95720680341.0,82809404620.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,39,27.390.691.416,7.073.815.733,,51.0,39.0,27390691416.0,7073815733.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,2.602.736.346,(5.325.788.529),,52.0,,2602736346.0,-5325788529.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,65.727.252.579,81.061.377.416,,60.0,,65727252579.0,81061377416.0
18.1.,18.1.,18.1.,Lợi nhuận sau thuế của công ty mẹ,61,,60.218.634.770,82.680.971.121,,61.0,,60218634770.0,82680971121.0
18.2.,18.2.,18.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,5.508.617.809,(1.619.593.705),,62.0,,5508617809.0,-1619593705.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,40,287,506,,70.0,40.0,287.0,506.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,40,287,506,,71.0,40.0,287.0,506.0
