row_label_raw,row_label_full,31/12/2016,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,96.808.960.822,-,96.808.960.822,96808960822.0,,96808960822.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,316.094.590.556,-,316.094.590.556,316094590556.0,,316094590556.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,596.275.084.202,-,596.275.084.202,596275084202.0,,596275084202.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,896.472.564.619,225.647.099.300,1.122.119.663.919,896472564619.0,225647099300.0,1122119663919.0
Phải thu khác,Phải thu khác,Phải thu khác,232.084.849.992,22.739.205.273,254.824.055.265,232084849992.0,22739205273.0,254824055265.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,29.850.959.106,29.850.959.106,,29850959106.0,29850959106.0
Cộng,Cộng,Cộng,2.401.736.050.191,278.237.263.679,2.679.973.313.870,2401736050191.0,278237263679.0,2679973313870.0
01/01/2016,01/01/2016,01/01/2016,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,220.107.949.123,-,220.107.949.123,220107949123.0,,220107949123.0
Chứng khoán kinh doanh,01/01/2016 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2016 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,573.264.666.667,1.400.000.000,574.664.666.667,573264666667.0,1400000000.0,574664666667.0
Phải thu khách hàng,01/01/2016 > Phải thu khách hàng,Phải thu khách hàng,415.224.159.179,-,415.224.159.179,415224159179.0,,415224159179.0
Phải thu về cho vay,01/01/2016 > Phải thu về cho vay,Phải thu về cho vay,699.209.157.372,157.343.713.318,856.552.870.690,699209157372.0,157343713318.0,856552870690.0
Phải thu khác,01/01/2016 > Phải thu khác,Phải thu khác,96.224.325.929,25.364.989.405,121.589.315.334,96224325929.0,25364989405.0,121589315334.0
Đầu tư góp vốn vào đơn vị khác,01/01/2016 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,13.486.261.636,13.486.261.636,,13486261636.0,13486261636.0
Cộng,01/01/2016 > Cộng,Cộng,2.268.030.258.270,197.594.964.359,2.465.625.222.629,2268030258270.0,197594964359.0,2465625222629.0
