row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",TSCĐ khác (*),Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__TSCĐ khác (*),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,184.546.794.975,291.324.474.637,39.386.274.304,27.226.044.190,2.294.755.259.331,2.837.238.847.437,184546794975.0,291324474637.0,39386274304.0,27226044190.0,2294755259331.0,2837238847437.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(6.727.572.756),20.700.173.523,-,(13.972.600.767),-,-,-6727572756.0,20700173523.0,,-13972600767.0,,
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,16.165.439.117,5.587.475.230,832.742.703,2.058.649.395,-,24.644.306.445,16165439117.0,5587475230.0,832742703.0,2058649395.0,,24644306445.0
XDCB hoàn thành,Nguyên giá > XDCB hoàn thành,XDCB hoàn thành,27.916.313.979,-,-,-,109.773.679.636,137.689.993.615,27916313979.0,,,,109773679636.0,137689993615.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,220.911.084,3.327.462.911,42.467.700,83.166.198,-,3.674.007.893,220911084.0,3327462911.0,42467700.0,83166198.0,,3674007893.0
"TL, nhượng bán","Nguyên giá > TL, nhượng bán","TL, nhượng bán",-,12.713.241.363,994.545.455,10.667.100,658.491.855,14.376.945.773,,12713241363.0,994545455.0,10667100.0,658491855.0,14376945773.0
Giảm do hợp nhất,Nguyên giá > Giảm do hợp nhất,Giảm do hợp nhất,26.656.379.673,-,9.845.574.494,67.400.000,1.778.263.431,38.347.617.598,26656379673.0,,9845574494.0,67400000.0,1778263431.0,38347617598.0
Giảm do mất QKS,Nguyên giá > Giảm do mất QKS,Giảm do mất QKS,2.898.571.695,-,-,-,-,2.898.571.695,2898571695.0,,,,,2898571695.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Số cuối kỳ,Công ty con > Số cuối kỳ,Số cuối kỳ,192.566.935.031,308.226.344.938,29.421.364.758,15.317.191.916,2.402.092.183.681,2.947.624.020.324,192566935031.0,308226344938.0,29421364758.0,15317191916.0,2402092183681.0,2947624020324.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,50.334.680.923,263.181.287.176,23.096.350.757,8.093.587.177,20.315.630.345,365.021.536.378,50334680923.0,263181287176.0,23096350757.0,8093587177.0,20315630345.0,365021536378.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,-,-,-,-,,,,,,
Khấu hao trong kỳ,Phân loại lại > Khấu hao trong kỳ,Khấu hao trong kỳ,8.607.627.803,16.293.918.699,2.759.146.922,1.028.394.930,68.740.118.154,97.429.206.508,8607627803.0,16293918699.0,2759146922.0,1028394930.0,68740118154.0,97429206508.0
CL do chuyển đổi,Phân loại lại > CL do chuyển đổi,CL do chuyển đổi,249.211.695,3.070.840.420,38.097.373,103.946.036,-,3.462.095.524,249211695.0,3070840420.0,38097373.0,103946036.0,,3462095524.0
"TL, nhượng bán","Phân loại lại > TL, nhượng bán","TL, nhượng bán",-,8.250.079.290,262.447.000,3.995.838,118.625.369,8.635.147.497,,8250079290.0,262447000.0,3995838.0,118625369.0,8635147497.0
Giảm do hợp nhất,Phân loại lại > Giảm do hợp nhất,Giảm do hợp nhất,8.226.560.137,-,5.123.410.980,67.400.000,-,13.417.371.117,8226560137.0,,5123410980.0,67400000.0,,13417371117.0
Giảm do mất QKS,Phân loại lại > Giảm do mất QKS,Giảm do mất QKS,1.286.532.080,-,-,-,-,1.286.532.080,1286532080.0,,,,,1286532080.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Số cuối kỳ,Công ty con > Số cuối kỳ,Số cuối kỳ,49.678.428.204,274.295.967.005,20.507.737.072,9.154.532.305,88.937.123.130,442.573.787.716,49678428204.0,274295967005.0,20507737072.0,9154532305.0,88937123130.0,442573787716.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,134.212.114.052,28.143.187.461,16.289.923.547,19.132.457.013,2.274.439.628.986,2.472.217.311.059,134212114052.0,28143187461.0,16289923547.0,19132457013.0,2274439628986.0,2472217311059.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,142.888.506.827,33.930.377.933,8.913.627.686,6.162.659.611,2.313.155.060.551,2.505.050.232.608,142888506827.0,33930377933.0,8913627686.0,6162659611.0,2313155060551.0,2505050232608.0
