row_label_raw,row_label_full,31/12/2016,Không quá 1 năm,Trên 1 năm,Đơn vị tính: VND Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Đơn vị tính: VND Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,411.726.186.278,-,411.726.186.278,411726186278.0,,411726186278.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,67.566.339.431,-,67.566.339.431,67566339431.0,,67566339431.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,695.132.641.618,2.867.395.107.764,3.562.527.749.382,695132641618.0,2867395107764.0,3562527749382.0
Phải trả khác,Phải trả khác,Phải trả khác,108.853.053.798,7.746.335.250,116.599.389.048,108853053798.0,7746335250.0,116599389048.0
Cộng,Cộng,Cộng,1.283.278.221.125,2.875.141.443.014,4.158.419.664.139,1283278221125.0,2875141443014.0,4158419664139.0
01/01/2016,01/01/2016,01/01/2016,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2016 > Phải trả người bán,Phải trả người bán,609.145.972.928,-,609.145.972.928,609145972928.0,,609145972928.0
Chỉ phí phải trả,01/01/2016 > Chỉ phí phải trả,Chỉ phí phải trả,44.274.125.874,-,44.274.125.874,44274125874.0,,44274125874.0
Vay và nợ thuê tài chính,01/01/2016 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,317.745.315.095,2.915.632.941.375,3.233.378.256.470,317745315095.0,2915632941375.0,3233378256470.0
Phải trả khác,01/01/2016 > Phải trả khác,Phải trả khác,112.450.856.914,74.595.230.845,187.046.087.759,112450856914.0,74595230845.0,187046087759.0
Cộng,01/01/2016 > Cộng,Cộng,1.083.616.270.811,2.990.228.172.220,4.073.844.443.031,1083616270811.0,2990228172220.0,4073844443031.0
