row_label_raw,row_label_full,col_0,MACK,31/12/2024 > Giá gốc,31/12/2024 > Giá trị hợp lý,31/12/2024 > Dự phòng,01/01/2024 > Giá gốc,01/01/2024 > Giá trị hợp lý,01/01/2024 > Dự phòng,numeric__MACK,numeric__31/12/2024 > Giá gốc,numeric__31/12/2024 > Giá trị hợp lý,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá gốc,numeric__01/01/2024 > Giá trị hợp lý,numeric__01/01/2024 > Dự phòng
,,,MACK,VND,VND,VND,VND,VND,VND,,,,,,,
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,2.794.735.530.496,,(131.174.901.968),2.866.735.530.496,,(143.648.226.429),,2794735530496.0,,-131174901968.0,2866735530496.0,,-143648226429.0
- Công ty Cổ phần Sacom - Tuyên Lâm,- Công ty Cổ phần Sacom - Tuyên Lâm,- Công ty Cổ phần Sacom - Tuyên Lâm,,897.300.000.000,,(89.207.647.992),897.300.000.000,,(90.939.107.944),,897300000000.0,,-89207647992.0,897300000000.0,,-90939107944.0
- Công ty Cổ phần Dây và Cáp Sacom,- Công ty Cổ phần Dây và Cáp Sacom,- Công ty Cổ phần Dây và Cáp Sacom,,499.600.000.000,,-,499.600.000.000,,-,,499600000000.0,,,499600000000.0,,
- Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,- Công ty Cổ phần Địa ốc Sacom,SLD,629.835.530.496,,(39.457.554.736),629.835.530.496,,(40.660.296.260),,629835530496.0,,-39457554736.0,629835530496.0,,-40660296260.0
- Công ty TNHH Sacom Chíp Sáng,- Công ty TNHH Sacom Chíp Sáng,- Công ty TNHH Sacom Chíp Sáng,,118.000.000.000,,-,118.000.000.000,,-,,118000000000.0,,,118000000000.0,,
- Công ty Cổ phần SAM Nông nghiệpCông nghệ Cao (1),- Công ty Cổ phần SAM Nông nghiệpCông nghệ Cao (1),- Công ty Cổ phần SAM Nông nghiệpCông nghệ Cao (1),,-,,-,72.000.000.000,,(9.920.748.426),,,,,72000000000.0,,-9920748426.0
- Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,- Công ty Cổ phần Capella Quảng Nam,,650.000.000.000,,(2.509.699.240),650.000.000.000,,(2.128.073.799),,650000000000.0,,-2509699240.0,650000000000.0,,-2128073799.0
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,1.422.077.167.304,,(145.398.126.091),1.515.377.167.304,,(180.379.048.279),,1422077167304.0,,-145398126091.0,1515377167304.0,,-180379048279.0
"- Công ty Cổ phần Dịch vụ Du lịch PhúThợ (*), (3)","- Công ty Cổ phần Dịch vụ Du lịch PhúThợ (*), (3)","- Công ty Cổ phần Dịch vụ Du lịch PhúThợ (*), (3)",DSP,534.052.970.000,626.490.317.500,(116.046.416.993),534.052.970.000,838.086.385.000,(108.791.643.101),,534052970000.0,626490317500.0,-116046416993.0,534052970000.0,838086385000.0,-108791643101.0
- Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,,3.148.000.000,,(1.831.343.730),3.148.000.000,,(1.815.956.111),,3148000000.0,,-1831343730.0,3148000000.0,,-1815956111.0
- Công ty Cổ phần Đầu tư và Phát triểnHạ tầng An Việt (2),- Công ty Cổ phần Đầu tư và Phát triểnHạ tầng An Việt (2),- Công ty Cổ phần Đầu tư và Phát triểnHạ tầng An Việt (2),,-,,-,93.300.000.000,,(10.568.294.309),,,,,93300000000.0,,-10568294309.0
- Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,,163.004.700.000,,(13.396.546.224),163.004.700.000,,(9.334.852.787),,163004700000.0,,-13396546224.0,163004700000.0,,-9334852787.0
- Công ty Cổ phần Liên doanh Cảng Quốctế Mỹ Thủy,- Công ty Cổ phần Liên doanh Cảng Quốctế Mỹ Thủy,- Công ty Cổ phần Liên doanh Cảng Quốctế Mỹ Thủy,,721.871.497.304,,(14.123.819.144),721.871.497.304,,(49.868.301.971),,721871497304.0,,-14123819144.0,721871497304.0,,-49868301971.0
