row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,Chỉ phí trả trước khác VND,Tổng cộng VND,numeric__Công cụ và dụng cụ VND,numeric__Chỉ phí trả trước khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.088.016.792,9.739.257.590,13.827.274.382,4088016792.0,9739257590.0,13827274382.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.005.220.593,1.837.475.038,2.842.695.631,1005220593.0,1837475038.0,2842695631.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,,381.997.000,381.997.000,,381997000.0,381997000.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(1.260.016.613),(7.813.043.176),(9.073.059.789),-1260016613.0,-7813043176.0,-9073059789.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.833.220.772,4.145.686.452,7.978.907.224,3833220772.0,4145686452.0,7978907224.0
