row_label_raw,row_label_full,Vay từ Tập đoàn Điện Lực Việt Nam > ▪ Khoản vay 1 > ▪ Khoản vay 2 (i),Loại tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,Năm đáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2020 > 2021,"Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",31/12/2020 VND > Vay từ Tập đoàn Điện Lực Việt Nam > - > 26.288.624.103,1/1/2020 VND > Vay từ Tập đoàn Điện Lực Việt Nam > 389.601.848.586 > 74.874.772.056,numeric__Loại tiền tệ > Vay từ Tập đoàn Điện Lực Việt Nam > JPY,numeric__Năm đáo hạn > Vay từ Tập đoàn Điện Lực Việt Nam > 2020 > 2021,"numeric__Lãi suất năm > Vay từ Tập đoàn Điện Lực Việt Nam > 3,21% > 2,75%",numeric__31/12/2020 VND > Vay từ Tập đoàn Điện Lực Việt Nam > - > 26.288.624.103,numeric__1/1/2020 VND > Vay từ Tập đoàn Điện Lực Việt Nam > 389.601.848.586 > 74.874.772.056
Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,Vay từ Công ty Tài Chính Cổ phần Điện Lực,,,,,
▪ Khoản vay 1 (ii),Vay từ Công ty Tài Chính Cổ phần Điện Lực > ▪ Khoản vay 1 (ii),▪ Khoản vay 1 (ii),JPY,2044,"0,21% - 1,6%",1.186.371.716.224,1.139.383.599.423,,2044.0,,1186371716224.0,1139383599423.0
Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,Vay từ Ngân hàng phát triển Châu Á,,,,,
▪ Khoản vay 1 (iii),Vay từ Ngân hàng phát triển Châu Á > ▪ Khoản vay 1 (iii),▪ Khoản vay 1 (iii),USD,2034,Lãi suất thả nổi,793.652.807.764,859.510.000.000,,2034.0,,793652807764.0,859510000000.0
,,,,,,2.006.313.148.091,2.463.370.220.065,,,,2006313148091.0,2463370220065.0
