row_label_raw,row_label_full,col_0,1/1/2020VND,Số phải nộp trong năm VND,Số đã nộp/cấn trừ trong năm VND,31/12/2020VND,numeric__1/1/2020VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp/cấn trừ trong năm VND,numeric__31/12/2020VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.420.339.282,161.755.490.879,(154.829.885.007),12.345.945.154,5420339282.0,161755490879.0,-154829885007.0,12345945154.0
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,56.692.771.075,135.301.443.580,(141.121.771.075),50.872.443.580,56692771075.0,135301443580.0,-141121771075.0,50872443580.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,82.037.604,5.862.250.736,(4.924.657.838),1.019.630.502,82037604.0,5862250736.0,-4924657838.0,1019630502.0
Thuế tài nguyên,Thuế > Thuế tài nguyên,Thuế tài nguyên,2.441.363.373,226.125.104.539,(193.543.923.026),35.022.544.886,2441363373.0,226125104539.0,-193543923026.0,35022544886.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,223.266.965,(223.266.965),-,,223266965.0,-223266965.0,
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,-,5.657.948.739,(5.640.507.159),17.441.580,,5657948739.0,-5640507159.0,17441580.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,
Phí dịch vụ môi trường rừng,Các khoản phải nộp khác > Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,21.114.147.528,87.323.848.056,(86.135.110.992),22.302.884.592,21114147528.0,87323848056.0,-86135110992.0,22302884592.0
Phí cấp quyền khai thác tài nguyên nước,Các khoản phải nộp khác > Phí cấp quyền khai thác tài nguyên nước,Phí cấp quyền khai thác tài nguyên nước,7.665.305.750,31.054.152.000,(30.955.919.750),7.763.538.000,7665305750.0,31054152000.0,-30955919750.0,7763538000.0
,,,93.415.964.612,653.303.505.494,(617.375.041.812),129.344.428.294,93415964612.0,653303505494.0,-617375041812.0,129344428294.0
