row_label_raw,row_label_full,col_0,31/12/2020Giá gốcVND,1/1/2020Giá gốcVND,numeric__31/12/2020Giá gốcVND,numeric__1/1/2020Giá gốcVND
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,31.019.955.859,86.587.479.366,31019955859.0,86587479366.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,1.370.410.130,772.852.401,1370410130.0,772852401.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.023.091.017,1.701.198.028,1023091017.0,1701198028.0
,,,33.413.457.006,89.061.529.795,33413457006.0,89061529795.0
