row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.459.155.756.762,5.650.342.074.262,72.509.669.511,49.928.010.074,253.880.507,14.232.189.391.116,8459155756762.0,5650342074262.0,72509669511.0,49928010074.0,253880507.0,14232189391116.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,10.284.840.196,-,3.263.299.999,-,13.548.140.195,,10284840196.0,,3263299999.0,,13548140195.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,2.089.700.059,22.447.533.248,4.067.845.253,117.207.214,-,28.722.285.774,2089700059.0,22447533248.0,4067845253.0,117207214.0,,28722285774.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,3.837.870.082,3.878.553.952,135.284.035,-,7.851.708.069,,3837870082.0,3878553952.0,135284035.0,,7851708069.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,588.293.923,-,(588.293.923),-,-,,588293923.0,,-588293923.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(121.552.520),(612.960.000),(582.227.588),-,(1.316.740.108),,-121552520.0,-612960000.0,-582227588.0,,-1316740108.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.461.245.456.821,5.687.379.059.191,79.843.108.716,52.273.279.811,253.880.507,14.280.994.785.046,8461245456821.0,5687379059191.0,79843108716.0,52273279811.0,253880507.0,14280994785046.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.727.642.995.930,4.113.300.376.280,49.823.668.962,44.620.174.495,253.880.507,8.935.641.096.174,4727642995930.0,4113300376280.0,49823668962.0,44620174495.0,253880507.0,8935641096174.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,167.134.519.674,156.402.539.492,3.785.002.044,2.180.582.065,-,329.502.643.275,167134519674.0,156402539492.0,3785002044.0,2180582065.0,,329502643275.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(121.552.520),(612.960.000),(582.227.588),-,(1.316.740.108),,-121552520.0,-612960000.0,-582227588.0,,-1316740108.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.894.777.515.604,4.269.581.363.252,52.995.711.006,46.218.528.972,253.880.507,9.263.826.999.341,4894777515604.0,4269581363252.0,52995711006.0,46218528972.0,253880507.0,9263826999341.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.731.512.760.832,1.537.041.697.982,22.686.000.549,5.307.835.579,-,5.296.548.294.942,3731512760832.0,1537041697982.0,22686000549.0,5307835579.0,,5296548294942.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.566.467.941.217,1.417.797.695.939,26.847.397.710,6.054.750.839,-,5.017.167.785.705,3566467941217.0,1417797695939.0,26847397710.0,6054750839.0,,5017167785705.0
