row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm > 2020,Giá trị giao dịch cho năm > 2019,numeric__Giá trị giao dịch cho năm > 2020,numeric__Giá trị giao dịch cho năm > 2019
Công ty Cổ phần Thủy điện A VươngCổ tức được chia,Công ty Cổ phần Thủy điện A VươngCổ tức được chia,Công ty Cổ phần Thủy điện A VươngCổ tức được chia,2.579.069.000,3.868.603.500,2579069000.0,3868603500.0
Công ty Cổ phần Thủy điện Sông Ba HạCổ tức được chia,Công ty Cổ phần Thủy điện Sông Ba HạCổ tức được chia,Công ty Cổ phần Thủy điện Sông Ba HạCổ tức được chia,640.000.000,5.120.000.000,640000000.0,5120000000.0
Công ty Cổ phần Tư vấn Xây dựng Điện 1Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 1Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 1Mua dịch vụ,226.316.429,-,226316429.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 2Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 2Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 2Mua dịch vụ,2.545.534.865,10.669.437.578,2545534865.0,10669437578.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3Cung cấp dịch vụMua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3Cung cấp dịch vụMua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3Cung cấp dịch vụMua dịch vụ,270.767.5265.484.457.991,1.462.159.6899.318.304.769,2.707675265484458e+18,1.4621596899318305e+19
Công ty Cổ phần Xây lắp Điện 1Mua dịch vụ,Công ty Cổ phần Xây lắp Điện 1Mua dịch vụ,Công ty Cổ phần Xây lắp Điện 1Mua dịch vụ,4.960.786.136,-,4960786136.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 4Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 4Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 4Mua dịch vụ,-,198.969.091,,198969091.0
Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại NinhCung cấp dịch vụ,Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại NinhCung cấp dịch vụ,Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại NinhCung cấp dịch vụ,9.350.000,-,9350000.0,
Công ty Viễn thông Điện lực và Công nghệ Thông tinMua dịch vụ,Công ty Viễn thông Điện lực và Công nghệ Thông tinMua dịch vụ,Công ty Viễn thông Điện lực và Công nghệ Thông tinMua dịch vụ,819.763.992,-,819763992.0,
Công ty Thí nghiệm Điện Miền NamMua dịch vụ,Công ty Thí nghiệm Điện Miền NamMua dịch vụ,Công ty Thí nghiệm Điện Miền NamMua dịch vụ,-,245.656.952,,245656952.0
Chi nhánh Công ty Cổ phần Thủy điện miền Nam tại Lâm ĐồngCung cấp dịch vụ,Chi nhánh Công ty Cổ phần Thủy điện miền Nam tại Lâm ĐồngCung cấp dịch vụ,Chi nhánh Công ty Cổ phần Thủy điện miền Nam tại Lâm ĐồngCung cấp dịch vụ,-,53.590.000,,53590000.0
Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt NamMua dịch vụ,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt NamMua dịch vụ,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt NamMua dịch vụ,-,299.569.510,,299569510.0
Ban Quản lý Dự án Điện 1 - Chi nhánh Tập đoàn Điện lực Việt NamMua dịch vụ,Ban Quản lý Dự án Điện 1 - Chi nhánh Tập đoàn Điện lực Việt NamMua dịch vụ,Ban Quản lý Dự án Điện 1 - Chi nhánh Tập đoàn Điện lực Việt NamMua dịch vụ,852.820.210,-,852820210.0,
