row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,4.224.000.000.000,128.754.171.541,(48.049.098.769),5.446.441.797,1.468.572.909.017,5.778.724.423.586,4224000000000.0,128754171541.0,-48049098769.0,5446441797.0,1468572909017.0,5778724423586.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.047.755.523.997,1.047.755.523.997,,,,,1047755523997.0,1047755523997.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(718.080.000.000),(718.080.000.000),,,,,-718080000000.0,-718080000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,274.021.476.654,-,(274.021.476.654),-,-,,274021476654.0,,-274021476654.0,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,384.739.053.933,(384.739.053.933),-,,,,384739053933.0,-384739053933.0,
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 18)",-,-,-,-,(17.655.000.000),(17.655.000.000),,,,,-17655000000.0,-17655000000.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,39.596.498.429,-,-,39.596.498.429,,,39596498429.0,,,39596498429.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,4.224.000.000.000,402.775.648.195,(8.452.600.340),116.164.019.076,1.395.854.379.081,6.130.341.446.012,4224000000000.0,402775648195.0,-8452600340.0,116164019076.0,1395854379081.0,6130341446012.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,665.295.881.509,665.295.881.509,,,,,665295881509.0,665295881509.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(1.013.760.000.000),(1.013.760.000.000),,,,,-1013760000000.0,-1013760000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,46.172.677.999,-,(46.172.677.999),-,-,,46172677999.0,,-46172677999.0,,
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 18)",-,-,-,-,(15.993.827.750),(15.993.827.750),,,,,-15993827750.0,-15993827750.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,(20.180.615.729),-,-,(20.180.615.729),,,-20180615729.0,,,-20180615729.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,4.224.000.000.000,448.948.326.194,(28.633.216.069),69.991.341.077,1.031.396.432.840,5.745.702.884.042,4224000000000.0,448948326194.0,-28633216069.0,69991341077.0,1031396432840.0,5745702884042.0
