row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,01,22.1,7.793.197.704.857,18.351.167.610.204,1.0,221.0,7793197704857.0,18351167610204.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,22.1,23.410.228.228,19.087.680.584,2.0,221.0,23410228228.0,19087680584.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,22.1,7.769.787.476.629,18.332.079.929.620,10.0,221.0,7769787476629.0,18332079929620.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,23,6.365.070.658.178,9.041.597.356.641,11.0,23.0,6365070658178.0,9041597356641.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.404.716.818.451,9.290.482.572.979,20.0,,1404716818451.0,9290482572979.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,22.2,2.432.213.212.869,2.158.135.375.700,21.0,222.0,2432213212869.0,2158135375700.0
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,22,24,971.581.509.393 96.219.749.004,103.842.775.190 96.418.310.786,22.0,24.0,,
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,25,146.210.582.200,379.134.439.315,25.0,25.0,146210582200.0,379134439315.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,26,660.828.953.777,996.901.784.705,26.0,26.0,660828953777.0,996901784705.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,2.058.308.985.950,9.968.738.949.469,30.0,,2058308985950.0,9968738949469.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,12.723.551.448,8.204.273.168,31.0,,12723551448.0,8204273168.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,374.698.739,900.312.839,32.0,,374698739.0,900312839.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,12.348.852.709,7.303.960.329,40.0,,12348852709.0,7303960329.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,2.070.657.838.659,9.976.042.909.798,50.0,,2070657838659.0,9976042909798.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,28.2,313.256.437.116,1.925.768.717.767,51.0,282.0,313256437116.0,1925768717767.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,28.3,44.800.304.182,7.647.328.321,52.0,283.0,44800304182.0,7647328321.0
17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,60,,1.712.601.097.361,8.042.626.863.710,60.0,,1712601097361.0,8042626863710.0
