row_label_raw,row_label_full,col_0,Bản quyềnVND,Phần mềmmáy tínhVND,TSCĐ vôhình khácVND,Tổng cộngVND,numeric__Bản quyềnVND,numeric__Phần mềmmáy tínhVND,numeric__TSCĐ vôhình khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.661.339.000,18.327.647.282,170.000.000,21.158.986.282,2661339000.0,18327647282.0,170000000.0,21158986282.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,469.550.000,-,469.550.000,,469550000.0,,469550000.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,2.661.339.000,18.797.197.282,170.000.000,21.628.536.282,2661339000.0,18797197282.0,170000000.0,21628536282.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,2.661.339.000,13.581.209.103,170.000.000,16.412.548.103,2661339000.0,13581209103.0,170000000.0,16412548103.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,2.226.932.081,-,2.226.932.081,,2226932081.0,,2226932081.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,2.661.339.000,15.808.141.184,170.000.000,18.639.480.184,2661339000.0,15808141184.0,170000000.0,18639480184.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,4.746.438.179,-,4.746.438.179,,4746438179.0,,4746438179.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,2.989.056.098,-,2.989.056.098,,2989056098.0,,2989056098.0
