row_label_raw,row_label_full,"Tên công ty liên doanh, liên kết",Lĩnh vực kinh doanh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số VND,Số cuối năm > Tỷ lệ sở hữu (%),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ sở hữu (%),numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ sở hữu (%)
Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Kinh doanh thương mại dịch vụ tại sân bay,65.504.200,1.585.201.640.000,"49,07",65.504.200,1.585.201.640.000,"49,07",,65504200.0,1585201640000.0,49.07,65504200.0,1585201640000.0,49.07
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Dịch vụ thương mại mặt đất tại sân bay,16.128.051,486.859.102.200,"48,03",16.128.051,486.859.102.200,"48,03",,16128051.0,486859102200.0,48.03,16128051.0,486859102200.0,48.03
Công ty Cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam,Công ty Cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam,Công ty Cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam,Dịch vụ khai thác kho hàng hóa,5.000.000,50.000.000.000,"20,00",5.000.000,50.000.000.000,"20,00",,5000000.0,50000000000.0,20.0,5000000.0,50000000000.0,20.0
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Dịch vụ mặt đất tại sân bay Nội Bài,3.800.000,30.000.000.000,"20,00",3.800.000,30.000.000.000,"20,00",,3800000.0,30000000000.0,20.0,3800000.0,30000000000.0,20.0
Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Căng hàng không Miền Nam (*),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Căng hàng không Miền Nam (*),Công ty TNHH Dịch vụ Bảo dưỡng Máy bay Căng hàng không Miền Nam (*),Bảo dưỡng và sửa chữa máy bay,-,15.300.000.000,"51,00",-,15.300.000.000,"51,00",,,15300000000.0,51.0,,15300000000.0,51.0
Công ty Cổ phần Vận tải Hàng không Miền Nam,Công ty Cổ phần Vận tải Hàng không Miền Nam,Công ty Cổ phần Vận tải Hàng không Miền Nam,Vận tải hành khách đường bộ,1.305.000,14.851.258.736,"30,00",1.305.000,14.851.258.736,"30,00",,1305000.0,14851258736.0,30.0,1305000.0,14851258736.0,30.0
Công ty Cổ phần Thương mại Hàng không Miền Nam,Công ty Cổ phần Thương mại Hàng không Miền Nam,Công ty Cổ phần Thương mại Hàng không Miền Nam,"Sản xuất nước uống tinh khiết đóng chai, nước khoáng đóng chai",493.000,7.532.433.978,"29,53",493.000,7.532.433.978,"29,53",,493000.0,7532433978.0,29.53,493000.0,7532433978.0,29.53
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,2.189.744.434.914,,,2.189.744.434.914,,,,2189744434914.0,,,2189744434914.0,
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,,,(3.285.072.311),,,-,,,,-3285072311.0,,,,
ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,,,2.186.459.362.603,,,2.189.744.434.914,,,,2186459362603.0,,,2189744434914.0,
