row_label_raw,row_label_full,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Năm nayVND > 842.181.613.960,Năm trướcVND > -,numeric__Năm nayVND > 842.181.613.960,numeric__Năm trướcVND > -
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,96.219.749.004,96.418.310.786,96219749004.0,96418310786.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,12.107.143.248,8.724.464.404,12107143248.0,8724464404.0
Trích lập (hoàn nhập) dự phòng khoản đầu tư tài chính dài hạn,Trích lập (hoàn nhập) dự phòng khoản đầu tư tài chính dài hạn,Trích lập (hoàn nhập) dự phòng khoản đầu tư tài chính dài hạn,21.073.003.181,(1.300.000.000),21073003181.0,-1300000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,971.581.509.393,103.842.775.190,971581509393.0,103842775190.0
