row_label_raw,row_label_full,col_0,Số đầu năm VND,Số tăng trong năm VND,Số giảm trong năm VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Số tăng trong năm VND,numeric__Số giảm trong năm VND,numeric__Số cuối năm VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.631.203.736,201.818.020.647,213.328.707.388,5.120.516.995,16631203736.0,201818020647.0,213328707388.0,5120516995.0
Thuế thu nhập doanh nghiệp (*),Phải nộp > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),528.357.727.766,455.521.759.111,900.000.000.000,83.879.486.877,528357727766.0,455521759111.0,900000000000.0,83879486877.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,59.070.143.419,192.502.766.903,251.179.731.390,393.178.932,59070143419.0,192502766903.0,251179731390.0,393178932.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,399.601.087,350.233.796,720.246.323,29.588.560,399601087.0,350233796.0,720246323.0,29588560.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.732.050.271,83.957.707.272,83.106.116.970,2.583.640.573,1732050271.0,83957707272.0,83106116970.0,2583640573.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,491.293.246,13.529.499.459,13.913.690.361,107.102.344,491293246.0,13529499459.0,13913690361.0,107102344.0
Thuế bảo vệ môi trường,Phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,1.531.843.623,1.432.634.925,99.208.698,,1531843623.0,1432634925.0,99208698.0
Lợi nhuận nộp ngân sách,Phải nộp > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,-,23.168.245.656,23.168.245.656,-,,23168245656.0,23168245656.0,
Các khoản khác,Phải nộp > Các khoản khác,Các khoản khác,-,722.257.257.075,722.257.257.075,-,,722257257075.0,722257257075.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,606.682.019.525,1.694.637.333.542,2.209.106.630.088,92.212.722.979,606682019525.0,1694637333542.0,2209106630088.0,92212722979.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.745.729.707,68.240.260.891,259.813.886,73.726.176.712,5745729707.0,68240260891.0,259813886.0,73726176712.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",587.504.167,981.581.889,18.000.000,1.551.086.056,587504167.0,981581889.0,18000000.0,1551086056.0
Lợi nhuận nộp ngân sách,Phải thu > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,4.928.026.949,-,4.928.026.949,-,4928026949.0,,4928026949.0,
Các khoản khác,Phải thu > Các khoản khác,Các khoản khác,-,10.547.290,-,10.547.290,,10547290.0,,10547290.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,11.261.260.823,69.232.390.070,5.205.840.835,75.287.810.058,11261260823.0,69232390070.0,5205840835.0,75287810058.0
