row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,26.118.520.874.392,13.214.399.466.689,2.367.392.906.288,97.378.588.887,41.797.691.836.256,26118520874392.0,13214399466689.0,2367392906288.0,97378588887.0,41797691836256.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,787.480.666,312.189.152.413,343.424.987.021,19.734.475.741,676.136.095.841,787480666.0,312189152413.0,343424987021.0,19734475741.0,676136095841.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,65.763.032.144,277.924.121.510,-,-,343.687.153.654,65763032144.0,277924121510.0,,,343687153654.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(4.763.963.637),(21.724.403.650),(1.078.500.262),(34.141.817),(27.601.009.366),-4763963637.0,-21724403650.0,-1078500262.0,-34141817.0,-27601009366.0
Chuyển nhóm tài sản,Nguyên giá: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,(7.573.191.560),7.940.376.179,(367.184.619),-,-,-7573191560.0,7940376179.0,-367184619.0,,
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,26.172.734.232.005,13.790.728.713.141,2.709.372.208.428,117.078.922.811,42.789.914.076.385,26172734232005.0,13790728713141.0,2709372208428.0,117078922811.0,42789914076385.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,12.733.023.099.718,11.057.512.797.566,1.631.700.611.022,91.513.859.152,25.513.750.367.458,12733023099718.0,11057512797566.0,1631700611022.0,91513859152.0,25513750367458.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,1.985.303.783.092,766.806.840.160,263.793.306.604,3.701.136.690,3.019.605.066.546,1985303783092.0,766806840160.0,263793306604.0,3701136690.0,3019605066546.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,(4.759.010.546),(21.723.756.087),(1.078.500.262),(34.141.818),(27.595.408.713),-4759010546.0,-21723756087.0,-1078500262.0,-34141818.0,-27595408713.0
Chuyển nhóm tài sản,Giá trị hao mòn lũy kế: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,(3.417.106.082),3.342.672.883,74.433.199,-,-,-3417106082.0,3342672883.0,74433199.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,14.710.150.766.182,11.805.938.554.522,1.894.489.850.563,95.180.854.024,28.505.760.025.291,14710150766182.0,11805938554522.0,1894489850563.0,95180854024.0,28505760025291.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,13.385.497.774.674,2.156.886.669.123,735.692.295.266,5.864.729.735,16.283.941.468.798,13385497774674.0,2156886669123.0,735692295266.0,5864729735.0,16283941468798.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,11.462.583.465.823,1.984.790.158.619,814.882.357.865,21.898.068.787,14.284.154.051.094,11462583465823.0,1984790158619.0,814882357865.0,21898068787.0,14284154051094.0
