row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Công ty Cổ phần Phát triển Thương mại & Công nghệ Sản xuất Mới,Công ty Cổ phần Phát triển Thương mại & Công nghệ Sản xuất Mới,Công ty Cổ phần Phát triển Thương mại & Công nghệ Sản xuất Mới,60.714.885.000,8.050.000.000,60714885000.0,8050000000.0
Công ty Cổ phần Tập đoàn CIENCO4,Công ty Cổ phần Tập đoàn CIENCO4,Công ty Cổ phần Tập đoàn CIENCO4,27.607.350.108,-,27607350108.0,
Công ty Cổ phần Avintech,Công ty Cổ phần Avintech,Công ty Cổ phần Avintech,22.938.258.082,45.152.862.903,22938258082.0,45152862903.0
Công ty Cổ phần Xuất nhập khẩu Hàng không,Công ty Cổ phần Xuất nhập khẩu Hàng không,Công ty Cổ phần Xuất nhập khẩu Hàng không,20.373.236.400,8.067.312.000,20373236400.0,8067312000.0
Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu An Tâm,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu An Tâm,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu An Tâm,19.667.932.900,7.311.424.200,19667932900.0,7311424200.0
Công ty TNHH Thương mại Khánh Thiện,Công ty TNHH Thương mại Khánh Thiện,Công ty TNHH Thương mại Khánh Thiện,15.221.633.101,384.206.790,15221633101.0,384206790.0
Công ty TNHH Sản xuất và Xây dựng Thi Sơn,Công ty TNHH Sản xuất và Xây dựng Thi Sơn,Công ty TNHH Sản xuất và Xây dựng Thi Sơn,13.728.000.000,-,13728000000.0,
Công ty Cổ phần Công trình và Thương mại Giao thông Vận tải,Công ty Cổ phần Công trình và Thương mại Giao thông Vận tải,Công ty Cổ phần Công trình và Thương mại Giao thông Vận tải,11.793.110.348,11.793.110.348,11793110348.0,11793110348.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,68.977.681.337,148.799.619.858,68977681337.0,148799619858.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,261.022.087.276,229.558.536.099,261022087276.0,229558536099.0
