row_label_raw,row_label_full,Giá trị tạm tăng công trình XDCB,Số cuối nămVND > 112.457.785.144,Số đầu nămVND > 659.168.949.468,numeric__Số cuối nămVND > 112.457.785.144,numeric__Số đầu nămVND > 659.168.949.468
"Tiền thuê đất, thuê đất","Tiền thuê đất, thuê đất","Tiền thuê đất, thuê đất",34.255.236.794,76.784.406.419,34255236794.0,76784406419.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,28.237.000.000,28.336.466.163,28237000000.0,28336466163.0
Khám sức khỏe,Khám sức khỏe,Khám sức khỏe,5.856.610.924,-,5856610924.0,
Sửa chữa tài sản,Sửa chữa tài sản,Sửa chữa tài sản,2.966.154.983,7.016.464.960,2966154983.0,7016464960.0
Giá trị tạm tăng xe cứu hòa,Giá trị tạm tăng xe cứu hòa,Giá trị tạm tăng xe cứu hòa,-,10.623.536.000,,10623536000.0
Bay hiệu chuẩn,Bay hiệu chuẩn,Bay hiệu chuẩn,-,3.318.505.500,,3318505500.0
Các khoản khác,Các khoản khác,Các khoản khác,7.305.968.834,10.298.855.493,7305968834.0,10298855493.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,191.078.756.679,795.547.184.003,191078756679.0,795547184003.0
