row_label_raw,row_label_full,col_0,Năm nay,Năm trước (phân loại lại),numeric__Năm nay,numeric__Năm trước (phân loại lại)
,,,VND,VND,,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,7.793.197.704.857,18.351.167.610.204,7793197704857.0,18351167610204.0
Doanh thu dịch vụ hàng không,Doanh thu dịch vụ hàng không,Doanh thu dịch vụ hàng không,5.971.807.996.595,14.709.459.101.266,5971807996595.0,14709459101266.0
- Doanh thu phục vụ hành khách,- Doanh thu phục vụ hành khách,- Doanh thu phục vụ hành khách,3.715.086.955.312,9.866.020.076.859,3715086955312.0,9866020076859.0
"- Doanh thu soi chiếu an ninh hành khách, hành lý","- Doanh thu soi chiếu an ninh hành khách, hành lý","- Doanh thu soi chiếu an ninh hành khách, hành lý",662.534.928.393,1.557.477.228.469,662534928393.0,1557477228469.0
- Doanh thu phục vụ mặt đất cơ bản trọn gói,- Doanh thu phục vụ mặt đất cơ bản trọn gói,- Doanh thu phục vụ mặt đất cơ bản trọn gói,382.642.235.120,502.021.205.780,382642235120.0,502021205780.0
- Doanh thu các dịch vụ hàng không khác,- Doanh thu các dịch vụ hàng không khác,- Doanh thu các dịch vụ hàng không khác,1.211.543.877.770,2.783.940.590.158,1211543877770.0,2783940590158.0
Doanh thu dịch vụ phi hàng không,Doanh thu dịch vụ phi hàng không,Doanh thu dịch vụ phi hàng không,1.318.268.340.414,2.152.101.386.200,1318268340414.0,2152101386200.0
- Cho thuê mặt bằng,- Cho thuê mặt bằng,- Cho thuê mặt bằng,550.370.024.332,888.335.668.961,550370024332.0,888335668961.0
- Dịch vụ sử dụng hạ tầng nội cảng,- Dịch vụ sử dụng hạ tầng nội cảng,- Dịch vụ sử dụng hạ tầng nội cảng,307.656.508.521,563.273.281.725,307656508521.0,563273281725.0
- Cho thuê quảng cáo,- Cho thuê quảng cáo,- Cho thuê quảng cáo,236.234.072.769,302.058.682.219,236234072769.0,302058682219.0
- Dịch vụ cung cấp tiện ích,- Dịch vụ cung cấp tiện ích,- Dịch vụ cung cấp tiện ích,77.199.309.283,123.988.640.580,77199309283.0,123988640580.0
"- Dịch vụ phục vụ khách VIP, F, C","- Dịch vụ phục vụ khách VIP, F, C","- Dịch vụ phục vụ khách VIP, F, C",56.628.795.578,139.062.278.451,56628795578.0,139062278451.0
- Dịch vụ phi hàng không khác,- Dịch vụ phi hàng không khác,- Dịch vụ phi hàng không khác,90.179.629.931,135.382.834.264,90179629931.0,135382834264.0
Doanh thu bán hàng (*),Doanh thu bán hàng (*),Doanh thu bán hàng (*),503.121.367.848,1.489.607.122.738,503121367848.0,1489607122738.0
Giảm trừ doanh thu,Giảm trừ doanh thu,Giảm trừ doanh thu,,,,
- Chiết khấu thương mại (*),Giảm trừ doanh thu > - Chiết khấu thương mại (*),- Chiết khấu thương mại (*),(23.410.228.228),(19.087.680.584),-23410228228.0,-19087680584.0
DOANH THU THUẦN,Giảm trừ doanh thu > DOANH THU THUẦN,DOANH THU THUẦN,7.769.787.476.629,18.332.079.929.620,7769787476629.0,18332079929620.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu từ bên khác,Trong đó: > Doanh thu từ bên khác,Doanh thu từ bên khác,7.464.351.724.603,17.615.463.299.214,7464351724603.0,17615463299214.0
Doanh thu từ bên liên quan,Trong đó: > Doanh thu từ bên liên quan,Doanh thu từ bên liên quan,305.435.752.026,716.616.630.406,305435752026.0,716616630406.0
