row_label_raw,row_label_full,Chi phí thuê hoạt động đã ghi nhậnvào báo cáo kết quả hoạt độngkinh doanh trong năm,Năm nayVND > 93.696.926.786,Năm trướcVND > 89.696.386.599,numeric__Năm nayVND > 93.696.926.786,numeric__Năm trướcVND > 89.696.386.599
Cam kết thuê hoạt động,Cam kết thuê hoạt động,Cam kết thuê hoạt động,Cam kết thuê hoạt động,Cam kết thuê hoạt động,,
,,,Số cuối nămVND,Số đầu nămVND,,
Dưới 1 năm,Cam kết thuê hoạt động > Dưới 1 năm,Dưới 1 năm,4.863.984.994,4.393.407.133,4863984994.0,4393407133.0
Từ trên 1 năm đến dưới 5 năm,Cam kết thuê hoạt động > Từ trên 1 năm đến dưới 5 năm,Từ trên 1 năm đến dưới 5 năm,19.455.939.978,16.874.381.839,19455939978.0,16874381839.0
Trên 5 năm,Cam kết thuê hoạt động > Trên 5 năm,Trên 5 năm,149.245.555.223,149.870.575.533,149245555223.0,149870575533.0
TỔNG CỘNG,Cam kết thuê hoạt động > TỔNG CỘNG,TỔNG CỘNG,173.565.480.195,171.138.364.505,173565480195.0,171138364505.0
