row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,,
Số đầu năm (trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Số đầu năm (trình bày lại),Số đầu năm (trình bày lại),21.771.732.360.000,14.602.790.587,(572.470.000),2.550.573.946.105,5.944.825.469.292,30.281.162.095.984,21771732360000.0,14602790587.0,-572470000.0,2550573946105.0,5944825469292.0,30281162095984.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.042.626.863.710,8.042.626.863.710,,,,,8042626863710.0,8042626863710.0
Mua lại cổ phiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(1.713.480.000),-,-,(1.713.480.000),,,-1713480000.0,,,-1713480000.0
Trích quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,3.484.019.695.540,(3.484.019.695.540),-,,,,3484019695540.0,-3484019695540.0,
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(277.486.565.000),(277.486.565.000),,,,,-277486565000.0,-277486565000.0
Trích quỹ thưởng ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,(148.680.000),(148.680.000),,,,,-148680000.0,-148680000.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Chia cổ tức,Chia cổ tức,-,-,-,-,(1.959.298.862.400),(1.959.298.862.400),,,,,-1959298862400.0,-1959298862400.0
Điều chỉnh khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,10.400.000.000,10.400.000.000,,,,,10400000000.0,10400000000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Số cuối năm,Số cuối năm,21.771.732.360.000,14.602.790.587,(2.285.950.000),6.034.593.641.645,8.276.898.530.062,36.095.541.372.294,21771732360000.0,14602790587.0,-2285950000.0,6034593641645.0,8276898530062.0,36095541372294.0
