row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,31 tháng 12 năm 2025 VND,31 tháng 12 năm 2024 VND,numeric__Thuyết minh,numeric__Mã số,numeric__31 tháng 12 năm 2025 VND,numeric__31 tháng 12 năm 2024 VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
Nợ phải trả,NGUỒN VỐN > Nợ phải trả,Nợ phải trả,,300,21.187.213.192.263,18.489.291.356.573,,300.0,21187213192263.0,18489291356573.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,,310,5.752.412.518.021,3.454.544.931.859,,310.0,5752412518021.0,3454544931859.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,19,311,116.651.934.917,96.302.096.228,19.0,311.0,116651934917.0,96302096228.0
Người mua trả tiền trước ngắn hạn,NGUỒN VỐN > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,312,4.940.688.723,4.814.387.260,,312.0,4940688723.0,4814387260.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,20,313,144.179.940.219,13.752.873.123,20.0,313.0,144179940219.0,13752873123.0
Phải trả người lao động,NGUỒN VỐN > Phải trả người lao động,Phải trả người lao động,,314,293.614.903,114.728.033,,314.0,293614903.0,114728033.0
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,21,315,637.364.171.773,689.532.985.698,21.0,315.0,637364171773.0,689532985698.0
Doanh thu chưa thực hiện ngắn hạn,NGUỒN VỐN > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,,318,2.271.649.500,3.603.299.660,,318.0,2271649500.0,3603299660.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,22,319,2.930.119.428.877,2.372.159.733.051,22.0,319.0,2930119428877.0,2372159733051.0
