row_label_raw,row_label_full,col_0,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Lợi nhuận kế toàn trước thuế,Lợi nhuận kế toàn trước thuế,Lợi nhuận kế toàn trước thuế,177.826.021.027,30.758.479.732,177826021027.0,30758479732.0
Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,,
Chi phí không được khấu trừ,Các khoản điều chỉnh cho: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,59.263.604.208,98.910.713.360,59263604208.0,98910713360.0
Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Các khoản điều chỉnh cho: > Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,492.418.397.946,216.113.922.146,492418397946.0,216113922146.0
Điều chỉnh khác,Các khoản điều chỉnh cho: > Điều chỉnh khác,Điều chỉnh khác,945.805.496,25.338.959.250,945805496.0,25338959250.0
Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,Các khoản điều chỉnh cho: > Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,4.933.722.458,8.412.445.384,4933722458.0,8412445384.0
Lỗ các năm trước chuyển sang,Các khoản điều chỉnh cho: > Lỗ các năm trước chuyển sang,Lỗ các năm trước chuyển sang,(22.198.486.304),(297.721.620.865),-22198486304.0,-297721620865.0
Thu nhập tính thuế,Các khoản điều chỉnh cho: > Thu nhập tính thuế,Thu nhập tính thuế,713.189.064.831,81.812.899.007,713189064831.0,81812899007.0
Thuế TNDN ước tính,Các khoản điều chỉnh cho: > Thuế TNDN ước tính,Thuế TNDN ước tính,142.637.812.966,16.362.579.801,142637812966.0,16362579801.0
Thuế TNDN hoãn lại năm trước phân bổ vào năm nay,Các khoản điều chỉnh cho: > Thuế TNDN hoãn lại năm trước phân bổ vào năm nay,Thuế TNDN hoãn lại năm trước phân bổ vào năm nay,832.241.000,832.241.000,832241000.0,832241000.0
Tổng chỉ phí thuế TNDN,Các khoản điều chỉnh cho: > Tổng chỉ phí thuế TNDN,Tổng chỉ phí thuế TNDN,143.470.053.966,17.194.820.801,143470053966.0,17194820801.0
