row_label_raw,row_label_full,STT,Tên tổ chức/cá nhân,Mối quan hệ liên quan với Công ty,numeric__Tên tổ chức/cá nhân,numeric__Mối quan hệ liên quan với Công ty
1,1,1,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Công ty con trực tiếp,,
2,2,2,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con trực tiếp,,
3,3,3,Công ty Cổ phần Phát triển Đỏ thị Sài Gòn Tây Bắc,Công ty con trực tiếp,,
4,4,4,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty con trực tiếp,,
5,5,5,Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,Công ty con trực tiếp,,
6,6,6,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty con trực tiếp,,
7,7,7,Công ty Cổ phần Phát triển Đỏ thị Kinh Bắc - Đồng Tháp,Công ty con trực tiếp,,
8,8,8,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty con gián tiếp,,
9,9,9,Công ty Cổ phần Đầu tư Phát triển Long An,Công ty con gián tiếp,,
10,10,10,Công ty Cổ phần Trump International Việt Nam,Công ty con gián tiếp,,
11,11,11,Công ty cổ phần Đầu tư Láng Hạ,Công ty con gián tiếp,,
12,12,12,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chất,,
