row_label_raw,row_label_full,Ban Tổng Giám đốc,Chức vụ,col_2,numeric__Chức vụ,numeric__col_2
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,,,
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Phó Tổng Giám đốc,,,
Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,,,
Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Phó Tổng Giám đốc,Bổ nhiệm ngày 14 tháng 3 năm 2025,,
Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Phó Tổng Giám đốc kiểm Kế toán trường,,,
