row_label_raw,row_label_full,Ban Kiểm soát,Chức vụ,numeric__Chức vụ
Bà Nguyễn Bích Ngọc,Bà Nguyễn Bích Ngọc,Bà Nguyễn Bích Ngọc,Trường ban,
Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Thành viên,
Ông Trần Tiến Thành,Ông Trần Tiến Thành,Ông Trần Tiến Thành,Thành viên,
