row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025VND,31 tháng 12 năm 2024VND,numeric__31 tháng 12 năm 2025VND,numeric__31 tháng 12 năm 2024VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Trích trước chi phí xây dựng và phát triển cơ sở hạ tầng,chi phí xây dựng đối với bất động sản đã bản giao","Ngắn hạn > Trích trước chi phí xây dựng và phát triển cơ sở hạ tầng,chi phí xây dựng đối với bất động sản đã bản giao","Trích trước chi phí xây dựng và phát triển cơ sở hạ tầng,chi phí xây dựng đối với bất động sản đã bản giao",486.842.210.576,578.818.160.069,486842210576.0,578818160069.0
Tiền thuê đất trích trước,Ngắn hạn > Tiền thuê đất trích trước,Tiền thuê đất trích trước,52.953.100.447,48.580.826.099,52953100447.0,48580826099.0
"Chi phí lãi vay, lãi trái phiếu phải trả bên thứ ba","Ngắn hạn > Chi phí lãi vay, lãi trái phiếu phải trả bên thứ ba","Chi phí lãi vay, lãi trái phiếu phải trả bên thứ ba",60.293.771.159,43.405.510.077,60293771159.0,43405510077.0
Chi phí phải trả khác,Ngắn hạn > Chi phí phải trả khác,Chi phí phải trả khác,4.477.380.001,3.103.010.001,4477380001.0,3103010001.0
Chi phí lãi vay phải trả bên liên quan (Thuyết minh 35),Ngắn hạn > Chi phí lãi vay phải trả bên liên quan (Thuyết minh 35),Chi phí lãi vay phải trả bên liên quan (Thuyết minh 35),32.797.709.590,15.625.479.452,32797709590.0,15625479452.0
,,,637.364.171.773,689.532.985.698,637364171773.0,689532985698.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay phải trả bên liên quan (Thuyết minh 35),Dài hạn > Chi phí lãi vay phải trả bên liên quan (Thuyết minh 35),Chi phí lãi vay phải trả bên liên quan (Thuyết minh 35),507.852.762.396,540.540.029.977,507852762396.0,540540029977.0
,,,1.145.216.934.169,1.230.073.015.675,1145216934169.0,1230073015675.0
