row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025 > Giá trịVND,31 tháng 12 năm 2025 > Số cókhả năng trả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,31 tháng 12 năm 2024 > Giá trịVND,31 tháng 12 năm 2024 > Số cókhả năng trả nợVND,numeric__31 tháng 12 năm 2025 > Giá trịVND,numeric__31 tháng 12 năm 2025 > Số cókhả năng trả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__31 tháng 12 năm 2024 > Giá trịVND,numeric__31 tháng 12 năm 2024 > Số cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng (Thuyết minh số 23.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng (Thuyết minh số 23.1),Vay ngắn hạn ngân hàng (Thuyết minh số 23.1),43.547.796.141,43.547.796.141,106.685.801.655,(113.079.454.987),49.941.449.473,49.941.449.473,43547796141.0,43547796141.0,106685801655.0,-113079454987.0,49941449473.0,49941449473.0
Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 23.2),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 23.2),Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 23.2),677.367.135.857,677.367.135.857,626.707.951.714,(59.340.815.857),110.000.000.000,110.000.000.000,677367135857.0,677367135857.0,626707951714.0,-59340815857.0,110000000000.0,110000000000.0
Vay đối tượng khác (Thuyết minh số 23.3),Vay ngắn hạn > Vay đối tượng khác (Thuyết minh số 23.3),Vay đối tượng khác (Thuyết minh số 23.3),50.000.000.000,50.000.000.000,-,-,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0,,,50000000000.0,50000000000.0
Trải phiếu dài hạn đến hạn phải trả (Thuyết minh 23.4),Vay ngắn hạn > Trải phiếu dài hạn đến hạn phải trả (Thuyết minh 23.4),Trải phiếu dài hạn đến hạn phải trả (Thuyết minh 23.4),987.052.777.778,987.052.777.778,987.052.777.778,-,-,-,987052777778.0,987052777778.0,987052777778.0,,,
Vay các bên liên quan (Thuyết minh 35),Vay ngắn hạn > Vay các bên liên quan (Thuyết minh 35),Vay các bên liên quan (Thuyết minh 35),154.300.000.000,154.300.000.000,154.300.000.000,(60.000.000.000),60.000.000.000,60.000.000.000,154300000000.0,154300000000.0,154300000000.0,-60000000000.0,60000000000.0,60000000000.0
,,,1.912.267.709.776,1.912.267.709.776,1.874.746.531.147,(232.420.270.844),269.941.449.473,269.941.449.473,1912267709776.0,1912267709776.0,1874746531147.0,-232420270844.0,269941449473.0,269941449473.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay dài hạn ngân hàng (Thuyết minh số 23.2),Vay dài hạn > Vay dài hạn ngân hàng (Thuyết minh số 23.2),Vay dài hạn ngân hàng (Thuyết minh số 23.2),9.576.260.933.582,9.576.260.933.582,9.427.050.636.102,(856.726.283.907),1.005.936.581.387,1.005.936.581.387,9576260933582.0,9576260933582.0,9427050636102.0,-856726283907.0,1005936581387.0,1005936581387.0
Trải phiếu phát hành (Thuyết minh số 23.4),Vay dài hạn > Trải phiếu phát hành (Thuyết minh số 23.4),Trải phiếu phát hành (Thuyết minh số 23.4),-,-,9.875.000.000,(977.177.777.778),967.302.777.778,967.302.777.778,,,9875000000.0,-977177777778.0,967302777778.0,967302777778.0
Vay các bên liên quan (Thuyết minh 35),Vay dài hạn > Vay các bên liên quan (Thuyết minh 35),Vay các bên liên quan (Thuyết minh 35),3.851.192.870.810,3.851.192.870.810,3.473.520.968.076,(6.091.359.656.204),6.469.031.558.938,6.469.031.558.938,3851192870810.0,3851192870810.0,3473520968076.0,-6091359656204.0,6469031558938.0,6469031558938.0
,,,13.427.453.804.392,13.427.453.804.392,12.910.446.604.178,(7.925.263.717.889),8.442.270.918.103,8.442.270.918.103,13427453804392.0,13427453804392.0,12910446604178.0,-7925263717889.0,8442270918103.0,8442270918103.0
,,,15.339.721.514.168,15.339.721.514.168,14.785.193.135.325,(8.157.683.988.733),8.712.212.367.576,8.712.212.367.576,15339721514168.0,15339721514168.0,14785193135325.0,-8157683988733.0,8712212367576.0,8712212367576.0
